Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alhue ,,7405 ,167 ,2255.2 ,3 ,40.5 ,24 ,324.1 ,24 ,324.1 
Buin ,& ,109641 ,2233 ,2036.6 ,72 ,65.7 ,125 ,114.0 ,125 ,114.0 
Calera de Tango ,& ,28525 ,553 ,1938.7 ,7 ,24.5 ,32 ,112.2 ,32 ,112.2 
Cerrillos ,& ,88956 ,2902 ,3262.3 ,69 ,77.6 ,122 ,137.1 ,120 ,134.9 
Cerro Navia ,& ,142465 ,6179 ,4337.2 ,225 ,157.9 ,168 ,117.9 ,167 ,117.2 
Colina ,& ,180353 ,4435 ,2459.1 ,100 ,55.4 ,113 ,62.7 ,112 ,62.1 
Conchali ,& ,139195 ,5908 ,4244.4 ,206 ,148.0 ,147 ,105.6 ,145 ,104.2 
Curacavi ,& ,36430 ,839 ,2303.0 ,14 ,38.4 ,56 ,153.7 ,56 ,153.7 
EI Bosque ,& ,172000 ,6169 ,3586.6 ,194 ,112.8 ,242 ,140.7 ,241 ,140.1 
EI Monte ,& ,40014 ,1121 ,2801.5 ,38 ,95.0 ,66 ,164.9 ,66 ,164.9 
Estacion Central ,& ,206792 ,5993 ,2898.1 ,133 ,64.3 ,189 ,91.4 ,189 ,91.4 
Huechuraba ,& ,112528 ,3616 ,3213.4 ,130 ,115.5 ,102 ,90.6 ,102 ,90.6 
Independencia ,& ,142065 ,6225 ,4381.8 ,219 ,154.2 ,148 ,104.2 ,145 ,102.1 
Isla de Maipo ,& ,40171 ,863 ,2148.3 ,17 ,42.3 ,120 ,298.7 ,120 ,298.7 
La Cisterna ,& ,100434 ,3055 ,3041.8 ,105 ,104.5 ,93 ,92.6 ,93 ,92.6 
La Florida ,& ,402433 ,13038 ,3239.8 ,427 ,106.1 ,389 ,96.7 ,389 ,96.7 
La Granja ,& ,122557 ,6798 ,5546.8 ,183 ,149.3 ,156 ,127.3 ,156 ,127.3 
La Pintana ,& ,189335 ,9677 ,5111.0 ,286 ,151.1 ,318 ,168.0 ,317 ,167.4 
La Reina ,& ,100252 ,2121 ,2115.7 ,81 ,80.8 ,60 ,59.8 ,57 ,56.9 
Lampa ,& ,126898 ,3355 ,2643.9 ,49 ,38.6 ,146 ,115.1 ,146 ,115.1 
Las Condes ,& ,330759 ,5577 ,1686.1 ,265 ,80.1 ,175 ,52.9 ,173 ,52.3 
Lo Barnechea ,& ,124076 ,3118 ,2513.0 ,64 ,51.6 ,70 ,56.4 ,70 ,56.4 
Lo Espejo ,& ,103865 ,4043 ,3892.6 ,177 ,170.4 ,160 ,154.0 ,157 ,151.2 
Lo Prado ,& ,104403 ,4647 ,4451.0 ,127 ,121.6 ,227 ,217.4 ,227 ,217.4 
