MariaPinto,000,O,O,0,1,0,2,2,18,25,38,37,42,25,28,47,32,30,22,12,9,9,14,50
Melipilla ,& O 1 1 ,6 ,5 ,4 ,9 ,24 ,37 ,85 ,106 ,212 ,353 ,480 ,477 ,419 ,448 ,351 ,294 ,219 ,135 ,76 ,68 ,66 ,86 ,40 O 
Nunoa ,& 1 1 28 ,54 ,44 ,48 ,48 ,70 ,73 ,154 ,372 ,543 ,760 ,665 ,654 ,553 ,382 ,313 ,208 ,185 ,86 ,92 ,107 ,95 ,86 ,38 0 
Padre Hurtado ,0 1 0 ,5 ,10 ,5 ,13 ,9 ,16 ,62 ,99 ,172 ,253 ,232 ,283 ,234 ,189 ,176 ,122 ,107 ,49 ,68 ,39 ,32 ,30 ,20 0 
Paine ,& 0 1 0 ,3 ,0 ,4 ,7 ,3 ,5 ,29 ,83 ,86 ,133 ,153 ,274 ,237 ,210 ,195 ,183 ,109 ,65 ,50 ,31 ,67 ,45 ,22 0 
Pedro Aguirre Cerda ,& 0 0 3 ,7 ,15 ,26 ,47 ,32 ,75 ,178 ,365 ,429 ,403 ,511 ,579 ,432 ,342 ,239 ,222 ,145 ,106 ,90 ,81 ,65 ,47 ,20 0 
Penaflor ,& 1 1 5 ,3 ,9 ,6 ,9 ,16 ,27 ,59 ,109 ,213 ,309 ,318 ,340 ,322 ,320 ,210 ,156 ,216 ,79 ,67 ,60 ,54 ,68 ,31 0 
Penalolen ,& 1 3 9 ,30 ,37 ,40 ,52 ,71 ,122 ,411 ,990 ,1341 ,1656 ,1599 ,1440 ,1108 ,847 ,579 ,451 ,326 ,203 ,202 ,173 ,132 ,113 ,81 O 
Pirque ,O 1 3 ,1 ,3 ,1 ,5 ,5 ,16 ,39 ,60 ,82 ,160 ,153 ,116 ,115 ,83 ,76 ,75 ,37 ,20 ,17 ,25 ,24 ,18 ,6 0 
Providencia ,& O 3 29 ,63 ,23 ,25 ,35 ,41 ,41 ,96 ,284 ,328 ,405 ,430 ,295 ,240 ,208 ,180 ,156 ,118 ,68 ,61 ,66 ,69 ,43 ,28 O 
Pudahuel ,& 1 1 2 ,19 ,28 ,37 ,43 ,48 ,142 ,366 ,679 ,1035 ,1301 ,1275 ,1321 ,869 ,744 ,509 ,369 ,328 ,262 ,192 ,171 ,143 ,145 ,78 O 
Puente Alto ,& 2 4 11 ,65 ,108 ,185 ,209 ,334 ,385 ,861 ,1589 ,2236 ,2595 ,2607 ,2838 ,2393 ,1895 ,1444 ,1043 ,722 ,539 ,362 ,455 ,410 ,469 ,212 O 
Quilicura ,& O 3 3 ,21 ,30 ,46 ,46 ,143 ,334 ,553 ,828 ,970 ,901 ,1048 ,1108 ,897 ,664 ,411 ,329 ,238 ,171 ,160 ,139 ,129 ,109 ,78 O 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,268 ,466 ,593 ,715 ,777 ,676 ,547 ,423 ,330 ,254 ,244 ,108 ,128 ,158 ,133 ,105 ,64 0 
Recoleta ,& 0 O 7 ,14 ,17 ,41 ,46 ,117 ,284 ,745 ,1190 ,1147 ,999 ,878 ,783 ,589 ,510 ,306 ,252 ,179 ,100 ,122 ,94 ,116 ,86 ,60 0 
Renca ,& 0 0 5 ,7 ,11 ,8 ,36 ,68 ,111 ,297 ,631 ,747 ,854 ,798 ,868 ,807 ,892 ,612 ,492 ,414 ,305 ,287 ,245 ,260 ,193 ,57 O 
San Bernardo ,& O 1 6 ,24 ,42 ,68 ,79 ,124 ,156 ,346 ,665 ,901 ,1078 ,1302 ,1414 ,1254 ,1074 ,831 ,584 ,417 ,257 ,235 ,208 ,195 ,145 ,74 O 
San Joaquin ,& 0 0 1 ,18 ,23 ,15 ,34 ,44 ,84 ,229 ,505 ,654 ,472 ,497 ,569 ,475 ,348 ,269 ,203 ,191 ,155 ,86 ,90 ,71 ,58 ,37 O 
San Jose de Maipo ,0 0 1 ,1 ,2 ,2 ,3 ,1 ,4 ,22 ,52 ,57 ,92 ,67 ,78 ,63 ,43 ,43 ,27 ,32 ,15 ,38 ,31 ,8 ,5 ,2 O 
San Miguel ,& 1 1 3 ,27 ,24 ,28 ,47 ,49 ,80 ,210 ,454 ,521 ,625 ,587 ,642 ,467 ,432 ,257 ,214 ,168 ,123 ,66 ,122 ,91 ,77 ,93 0 
San Pedro ,O 0 0 ,0O ,O ,0 ,O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,27 ,11 ,33 ,29 ,18 ,12 ,6 ,2 ,8 ,8 ,13 ,2 0 
San Ramon ,& 0 0 1 ,3 ,11 ,11 ,13 ,42 ,90 ,249 ,456 ,558 ,533 ,463 ,551 ,415 ,301 ,198 ,183 ,163 ,102 ,75 ,59 ,52 ,48 ,24 O 
Santiago ,& 1 3 31 ,100 ,107 ,151 ,168 ,177 ,394 ,954 ,1724 ,1725 ,1868 ,1633 ,1475 ,1195 ,985 ,631 ,504 ,424 ,239 ,190 ,156 ,165 ,123 ,72 O 
Talagante ,& O 0 0 ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,60 ,99 ,121 ,153 ,186 ,221 ,211 ,187 ,140 ,86 ,53 ,66 ,27 ,32 ,41 ,17 0 
Tiltil ,O 0 O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,57 ,62 ,93 ,63 ,50 ,44 ,38 ,15 ,15 ,14 ,12 ,13 ,11 ,12 0 
Vitacura ,& O 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,55 ,162 ,217 ,188 ,152 ,139 ,102 ,96 ,81 ,52 ,32 ,30 ,25 ,38 ,24 ,28 ,19 O 
Desconocido ,& O 0 6 ,10 ,19 ,54 ,177 ,364 ,563 ,695 ,1396 ,2164 ,2406 ,1665 ,1337 ,1346 ,1418 ,851 ,469 ,283 ,159 ,94 ,108 ,57 ,41 ,98 O 
Total ,15 70 354 ,1044 ,1152 ,1483 ,1928 ,2914 ,5352 ,12517 ,23549 ,30594 ,34124 ,33576 ,33770 ,27607 ,23035 ,16588 ,12555 ,9641 ,6484 ,5388 ,5112 ,4757 ,4030 ,2322 0 
