Regionderesidencia,Semana18al24deJulio,Semana25al31deJulio
Arica y Parinacota ,90.8 ,83.0 
Tarapaca ,91.8 ,70.5 
Antofagasta ,92.2 ,76.0 
Atacama ,92.6 ,92.0 
Coquimbo ,92.7 ,91.3 
Valparaiso ,87.2 ,83.3 
Metropolitana ,86.5 ,82.2 
'Higgins ,92.3 ,83.8 
Maule ,89.0 ,89.3 
Nuble ,89.6 ,86.5 
Biobio ,82.6 ,85.2 
Araucania ,84.8 ,64.8 
Los Rios ,95.9 ,92.2 
Los Lagos ,86.8 ,79.5 
Aysen ,98.5 ,96.7 
,,78.8 
