Papudo,&,6201,77,1241.7,1,16.1,7,112.9,7,112.9
Petorca ,,10558 ,73 ,691.4 ,1 ,9.5 ,13 ,123.1 ,13 ,123.1 
Puchuncavi ,& ,20071 ,144 ,717.5 ,4 ,19.9 ,17 ,84.7 ,17 ,84.7 
Putaendo ,& ,17645 ,189 ,1071.1 ,1 ,5.7 ,29 ,164.4 ,29 ,164.4 
Quillota ,& ,97572 ,1291 ,1323.1 ,26 ,26.6 ,235 ,240.8 ,232 ,237.8 
Quilpue ,& ,167085 ,1346 ,805.6 ,23 ,13.8 ,229 ,137.1 ,226 ,135.3 
Quintero ,& ,36135 ,333 ,921.5 ,6 ,16.6 ,25 ,69.2 ,25 ,69.2 
Rinconada ,,11263 ,151 ,1340.7 ,4 ,35.5 ,19 ,168.7 ,19 ,168.7 
San Antonio ,& ,96761 ,1112 ,1149.2 ,29 ,30.0 ,99 ,102.3 ,99 ,102.3 
San Esteban ,& ,20643 ,187 ,905.9 ,1 ,4.8 ,42 ,203.5 ,42 ,203.5 
San Felipe ,& ,83494 ,1016 ,1216.9 ,21 ,25.2 ,113 ,135.3 ,113 ,135.3 
Santa Maria ,& ,16367 ,192 ,1173.1 ,4 ,24.4 ,30 ,183.3 ,30 ,183.3 
Santo Domingo ,,11934 ,137 ,1148.0 ,1 ,8.4 ,9 ,75.4 ,9 ,75.4 
Valparaiso ,& ,315732 ,3424 ,1084.5 ,71 ,22.5 ,468 ,148.2 ,467 ,147.9 
Villa Alemana ,& ,139310 ,1282 ,920.2 ,13 ,9.3 ,206 ,147.9 ,206 ,147.9 
Vina del Mar ,& ,361371 ,3212 ,888.8 ,73 ,20.2 ,421 ,116.5 ,419 ,115.9 
Zapallar ,& ,7994 ,57 ,713.0 ,2 ,25.0 ,17 ,212.7 ,17 ,212.7 
Desconocido ,& ,- ,401 ,- ,O ,- ,135 ,- ,135 ,- 
Total ,,1960170 ,19461 ,992.8 ,399 ,20.4 ,2890 ,147.4 ,2878 ,146.8 
,,,,,,,,,,
,,SE SE SE SE ,SE SE SE ,SE SE SE ,SE SE ,SE SE ,SE SE ,SE SE SE ,SE SE ,
Comuna ,,9 10 11 12 ,13 14 15 ,16 17 18 ,19 20 ,21 22 ,23 24 ,25 26 27 ,28 29 ,
Algarrobo ,,O O 1 4 ,4 0 O ,O 2 4 ,6 13 ,10 7 ,19 18 ,6 6 2 ,1 O ,
Cabildo ,& ,O O O O ,O O O ,O 5 3 ,3 7 ,7 16 ,21 40 ,52 64 20 ,14 O ,
Calera ,& ,0 0 O 1 ,6 3 4 ,7 2 2 ,7 19 ,21 22 ,49 60 ,86 83 87 ,36 0 ,
Calle Larga ,& ,1 O O O ,O 2 3 ,1 0 4 ,3 8 ,29 27 ,28 24 ,25 38 23 ,12 O ,
Cartagena ,& ,0 O O O ,0 2 O ,1 5 5 ,12 7 ,17 11 ,17 20 ,20 16 15 ,3 O ,
Casablanca ,& ,0 O O 2 ,O 1 1 ,O O O ,9 9 ,9 13 ,22 23 ,22 26 14 ,4 O ,
