Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,724 ,1291.5 ,44 ,78.5 ,44 ,78.5 
Carahue ,& 25486 ,250 ,980.9 ,26 ,102.0 ,26 ,102.0 
Cholchol ,12341 ,62 ,502.4 ,13 ,105.3 ,13 ,105.3 
Collipulli ,& 26148 ,375 ,1434.1 ,8 ,30.6 ,8 ,30.6 
Cunco ,& 18055 ,145 ,803.1 ,12 ,66.5 ,12 ,66.5 
Curacautin ,18178 ,44 ,242.1 ,1 ,5.5 ,1 ,5.5 
Curarrehue ,7802 ,9 ,115.4 ,0 ,0.0 ,0 ,0.0 
Ercilla ,& 8458 ,207 ,2447.4 ,53 ,626.6 ,53 ,626.6 
Freire ,25446 ,141 ,554.1 ,6 ,23.6 ,6 ,23.6 
Galvarino ,& 12633 ,157 ,1242.8 ,9 ,71.2 ,9 ,71.2 
Gorbea ,15148 ,54 ,356.5 ,3 ,19.8 ,3 ,19.8 
Lautaro ,& 40746 ,269 ,660.2 ,36 ,88.4 ,36 ,88.4 
Loncoche ,& 24739 ,171 ,691.2 ,43 ,173.8 ,43 ,173.8 
Lonquimay ,& 11049 ,128 ,1158.5 ,14 ,126.7 ,14 ,126.7 
Los Sauces ,7517 ,67 ,891.3 ,4 ,53.2 ,4 ,53.2 
Lumaco ,10050 ,59 ,587.1 ,2 ,19.9 ,2 ,19.9 
Melipeuco ,6265 ,37 ,590.6 ,1 ,16.0 ,1 ,16.0 
Nueva Imperial ,& 33777 ,235 ,695.7 ,20 ,59.2 ,20 ,59.2 
Padre Las Casas ,& 82110 ,388 ,472.5 ,29 ,35.3 ,29 ,35.3 
Perquenco ,7223 ,105 ,1453.7 ,3 ,41.5 ,3 ,41.5 
Pitrufquen ,& 26096 ,148 ,567.1 ,14 ,53.6 ,14 ,53.6 
