Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,& ,15174 ,142 ,935.8 ,15 ,98.9 ,15 ,98.9 
Cabildo ,& ,20663 ,404 ,1955.2 ,27 ,130.7 ,27 ,130.7 
Calera ,& ,53591 ,1298 ,2422.0 ,123 ,229.5 ,122 ,227.7 
Calle Larga ,,16482 ,310 ,1880.8 ,16 ,97.1 ,16 ,97.1 
Cartagena ,& ,25357 ,236 ,930.7 ,10 ,39.4 ,10 ,39.4 
Casablanca ,& ,29170 ,456 ,1563.2 ,27 ,92.6 ,27 ,92.6 
Catemu ,,15213 ,267 ,1755.1 ,39 ,256.4 ,39 ,256.4 
Con Con ,,45889 ,656 ,1429.5 ,37 ,80.6 ,37 ,80.6 
EI Quisco ,& ,17742 ,241 ,1358.4 ,32 ,180.4 ,32 ,180.4 
EI Tabo ,,14338 ,273 ,1904.0 ,13 ,90.7 ,13 ,90.7 
Hijuelas ,,19099 ,318 ,1665.0 ,20 ,104.7 ,20 ,104.7 
Isla de Pascua ,& ,8277 ,7 ,84.6 ,1 ,12.1 ,1 ,12.1 
Juan Fernandez ,,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& ,25321 ,332 ,1311.2 ,30 ,118.5 ,30 ,118.5 
La Ligua ,,37739 ,762 ,2019.1 ,74 ,196.1 ,73 ,193.4 
Limache ,& ,49931 ,1124 ,2251.1 ,65 ,130.2 ,65 ,130.2 
Llaillay ,& ,26533 ,460 ,1733.7 ,40 ,150.8 ,40 ,150.8 
Los Andes ,& ,68093 ,1160 ,1703.6 ,57 ,83.7 ,57 ,83.7 
Nogales ,& ,23490 ,404 ,1719.9 ,42 ,178.8 ,40 ,170.3 
Olmue ,& ,19266 ,296 ,1536.4 ,13 ,67.5 ,13 ,67.5 
Panquehue ,,7633 ,127 ,1663.8 ,4 ,52.4 ,4 ,52.4 
