Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Alto Biobio ,938 ,938 ,1000 
Antuco ,688 ,1000 ,938 
Arauco ,275 ,961 ,927 
Cabrero ,87 ,968 ,937 
Canete ,362 ,969 ,963 
Chiguayante ,315 ,973 ,820 
Concepcion ,290 ,969 ,790 
Contulmo ,357 ,1000 ,786 
Coronel ,340 ,977 ,823 
Curanilahue ,412 ,969 ,858 
Florida ,114 ,971 ,919 
Hualpen ,333 ,984 ,841 
Hualqui ,333 ,983 ,447 
Laja ,715 ,972 ,914 
Lebu ,362 ,977 ,915 
Los Alamos ,375 ,952 ,935 
Los Angeles ,414 ,964 ,844 
Lota ,308 ,967 ,882 
Mulchen ,98 ,979 ,879 
Nacimiento ,748 ,968 ,948 
Negrete ,462 ,985 ,891 
Penco ,262 ,967 ,814 
Quilaco ,543 ,957 ,886 
Quilleco ,34 ,1000 ,950 
San Pedro de la Paz ,211 ,969 ,827 
San Rosendo ,632 ,947 ,778 
Santa Barbara ,588 ,983 ,483 
Santa Juana ,140 ,980 ,745 
Talcahuano ,426 ,968 ,826 
Tirua ,297 ,946 ,914 
Tome ,310 ,982 ,892 
Tucapel ,559 ,1000 ,765 
Yumbel ,93 ,944 ,961 
Total ,347 ,971 ,829 
