3,18.6,19,117.5,19,117.5,OO01,2O,01000O,8,13,20,23,35,57,34,13,1
,,,,,,,,1 0 1 1 ,O ,3 ,7 ,17 ,11 ,9 ,10 ,10 ,5 
4 ,8.6 ,111 ,239.8 ,111 ,239.8 ,0 1 0 O ,0 1 ,2 7 1 7 7 ,14 ,18 ,20 ,39 ,44 ,60 ,84 ,68 ,11 
6 ,12.1 ,58 ,117.3 ,56 ,113.2 ,O O 0 1 ,2 7 ,4 7 4 3 7 ,8 ,9 ,22 ,52 ,41 ,44 ,31 ,45 ,3 
,,,,,,,,1 0 0 5 ,10 ,28 ,7 ,17 ,8 ,11 ,14 ,11 ,4 
15 ,6.3 ,326 ,137.7 ,325 ,137.3 ,0 4 9 13 ,19 11 ,16 74 17 12 23 ,53 ,74 ,83 ,167 ,209 ,271 ,255 ,209 ,46 
3 ,9.7 ,34 ,110.2 ,34 ,110.2 ,0 0 0 1 ,1 0 ,1 1 1 3 3 ,3 ,4 ,7 ,11 ,33 ,30 ,29 ,29 ,1 
,,,,,,,,0 0 0 0 ,0 ,0 ,0 ,O ,0 ,0 ,0 ,1 ,O 
,,,,,,,,1 0 0 1 ,2 ,0 ,9 ,17 ,9 ,10 ,13 ,20 ,2 
3 ,15.6 ,3 ,15.6 ,3 ,15.6 ,0 O 0 O ,0 O ,1 0 2 0 5 ,9 ,12 ,23 ,13 ,16 ,10 ,7 ,1 ,O 
0 ,- ,8 ,- ,8 ,- ,0 0 0 1 ,0 0 ,0 0 1 0 0 ,1 ,0 ,4 ,7 ,7 ,12 ,5 ,1 ,6 
96 ,8.5 ,1342 ,118.6 ,1336 ,118.0 ,1 6 11 29 ,52 48 ,66 168 50 51 123 ,252 ,489 ,733 ,972 ,1081 ,1213 ,1076 ,876 ,156 
