Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,51 ,432.5 ,1 ,8.5 ,2 ,17.0 ,2 ,17.0 
Canela ,9546 ,25 ,261.9 ,1 ,10.5 ,2 ,21.0 ,2 ,21.0 
Combarbala ,13884 ,34 ,244.9 ,0 ,0.0 ,1 ,7.2 ,1 ,7.2 
Coquimbo & ,256735 ,2424 ,944.2 ,15 ,5.8 ,432 ,168.3 ,432 ,168.3 
Illapel ,32801 ,279 ,850.6 ,1 ,3.0 ,28 ,85.4 ,28 ,85.4 
La Higuera ,4450 ,59 ,1325.8 ,0 ,0.0 ,23 ,516.9 ,23 ,516.9 
La Serena & ,249656 ,2071 ,829.5 ,20 ,8.0 ,400 ,160.2 ,398 ,159.4 
Los Vilos ,23374 ,121 ,517.7 ,2 ,8.6 ,26 ,111.2 ,26 ,111.2 
Monte Patria ,32527 ,263 ,808.6 ,4 ,12.3 ,12 ,36.9 ,12 ,36.9 
Ovalle & ,121269 ,1220 ,1006.0 ,21 ,17.3 ,87 ,71.7 ,87 ,71.7 
Paiguano ,4675 ,11 ,235.3 ,0 ,0.0 ,2 ,42.8 ,2 ,42.8 
Punitaqui ,12165 ,89 ,731.6 ,4 ,32.9 ,9 ,74.0 ,9 ,74.0 
Rio Hurtado ,4372 ,29 ,663.3 ,0 ,0.0 ,4 ,91.5 ,4 ,91.5 
Salamanca ,29110 ,127 ,436.3 ,1 ,3.4 ,37 ,127.1 ,37 ,127.1 
Vicuna ,29741 ,124 ,416.9 ,0 ,0.0 ,12 ,40.3 ,12 ,40.3 
Desconocido & ,- ,136 ,- ,0 ,- ,15 ,- ,15 ,- 
Total ,836096 ,7063 ,844.8 ,70 ,8.4 ,1092 ,130.6 ,1090 ,130.4 
