Comuna,NO,Poblacion,Tasa
Andacollo ,- ,11791 ,0.0 
Canela ,- ,9546 ,0.0 
Combarbala ,- ,13884 ,0.0 
Coquimbo ,19 ,256735 ,7.4 
Illapel ,- ,32801 ,0.0 
La Higuera ,- ,4450 ,0.0 
La Serena ,- ,249656 ,1.2 
LOs Vilos ,- ,23374 ,4.3 
Monte Patria ,- ,32527 ,0.0 
Ovalle ,4 ,121269 ,3.3 
Paiguano ,- ,4675 ,0.0 
Punitaqui ,- ,12165 ,0.0 
Rio Hurtado ,- ,4372 ,22.9 
Salamanca ,- ,29110 ,6.9 
Vicuna ,- ,29741 ,0.0 
Total ,30 ,836096 ,3.6 
