ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos,NumerodeCasosRecuperados
Region de Arica y Parinacota ,252110 ,596 ,236.4 ,163 ,64.7 ,426 
Region de Tarapaca ,382773 ,2087 ,545.2 ,817 ,213.4 ,1256 
Region de Antofagasta ,691854 ,2285 ,330.3 ,384 ,55.5 ,1870 
Region de Atacama ,314709 ,210 ,66.7 ,49 ,15.6 ,161 
Region de Coquimbo ,836096 ,552 ,66 ,102 ,12.2 ,444 
Region de Valparaiso ,1960170 ,2874 ,146.6 ,719 ,36.7 ,2083 
Region Metropolitana de Santiago ,8125072 ,72815 ,896.2 ,17521 ,215.6 ,54417 
Region del Libertador General Bernardo OHiggins ,991063 ,773 ,78 ,183 ,18.5 ,580 
Region de Maule ,1131939 ,1207 ,106.6 ,476 ,42.1 ,715 
Region de Nuble ,511551 ,1251 ,244.6 ,251 ,49.1 ,978 
Region de Biobio ,1663696 ,1783 ,107.2 ,595 ,35.8 ,1177 
Region de la Araucania ,1014343 ,1981 ,195.3 ,304 ,30 ,1631 
Region de Los Rios ,405835 ,337 ,83 ,107 ,26.4 ,224 
Region de Los Lagos ,891440 ,796 ,89.3 ,136 ,15.3 ,647 
Region de Aysen del General Carlos lbanez de Campo ,107297 ,12 ,11.2 ,7 ,6.5 ,5 
Region de Magallanes y la Antartica Chilena ,178362 ,1046 ,586.4 ,70 ,39.2 ,957 
Desconocido ,- ,33 ,- ,1 ,- ,32 
Total pais ,19458310 ,90638 ,465.8 ,21885 ,112.5 ,67603 
