Quilaco,4179,0,0.0,0,0.0,0,0.0,0O00,O,0O,0O00,O0,O
Quilleco ,10032 ,1 ,10.0 ,1 ,10.0 ,1 ,10.0 ,O O O O ,O ,0 O ,O O O O ,O 1 ,O 
San Pedro de la Paz ,145906 ,147 ,100.7 ,29 ,19.9 ,29 ,19.9 ,O O 6 34 ,17 ,24 8 ,11 3 2 13 ,10 19 ,0 
San Rosendo ,3611 ,2 ,55.4 ,1 ,27.7 ,1 ,27.7 ,O O O 0 ,O ,0 O ,O O O 1 ,1 O ,O 
Santa Barbara& ,14592 ,18 ,123.4 ,11 ,75.4 ,11 ,75.4 ,O O 0 0 ,2 ,0 O ,0 O O 4 ,9 3 ,O 
Santa Juana ,14779 ,2 ,13.5 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,1 O ,O 1 O O ,O 0 ,O 
Talcahuano ,158345 ,167 ,105.5 ,31 ,19.6 ,31 ,19.6 ,O O 1 16 ,16 ,17 14 ,14 20 17 19 ,18 14 ,1 
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 ,O O O 1 ,2 ,1 O ,O O O O ,O O ,O 
Tome8 ,58729 ,75 ,127.7 ,6 ,10.2 ,6 ,10.2 ,0 O 0 9 ,11 ,12 7 ,9 1 4 16 ,4 2 ,O 
Tucapel ,15205 ,7 ,46.0 ,6 ,39.5 ,6 ,39.5 ,O O O O ,O ,1 O ,O O O O ,3 3 ,O 
Yumbel ,22132 ,19 ,85.8 ,5 ,22.6 ,5 ,22.6 ,O O O 0 ,5 ,O 1 ,1 1 2 4 ,2 3 ,O 
Total ,1663696 ,1462 ,87.9 ,411 ,24.7 ,410 ,24.6 ,1 2 29 140 ,157 ,149 99 ,99 65 80 206 ,224 209 ,2 
