PuertoVaras,48620,18,37.0,5,10.3,5,10.3,O010,2,32,00O0,,4600
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 O ,0 0 O 0 ,,O 0 O O 
Purranque ,21080 ,62 ,294.1 ,29 ,137.6 ,29 ,137.6 ,O O O O ,3 ,12 5 ,1 2 3 1 ,,5 12 18 0 
Puyehue ,11787 ,9 ,76.4 ,2 ,17.0 ,2 ,17.0 ,0 O 0 O ,1 ,1 1 ,1 1 2 O ,,O 1 1 O 
Queilen ,5543 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,0 0 ,O O O O ,,O O O O 
Quellon ,29309 ,1 ,3.4 ,0 ,0.0 ,O ,0.0 ,0 O 0 O ,O ,0 O ,0 0 1 0 ,,O O 0 O 
Quemchi ,8783 ,13 ,148.0 ,11 ,125.2 ,11 ,125.2 ,O O O O ,O ,0 O ,O 0 O O ,,2 5 6 O 
Quinchao ,8298 ,1 ,12.1 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,O O ,O O O O ,,O O O O 
Rio Negro ,14275 ,32 ,224.2 ,6 ,42.0 ,6 ,42.0 ,O O 0 1 ,2 ,3 O ,4 6 1 4 ,,5 4 2 O 
San Juan de la Costa ,7639 ,34 ,445.1 ,0 ,0.0 ,O ,0.0 ,0 O O 0 ,1 ,9 2 ,6 7 2 5 ,,2 O 0 O 
San Pablo ,10553 ,12 ,113.7 ,1 ,9.5 ,1 ,9.5 ,O O O O ,2 ,4 O ,3 O O O ,,2 1 O O 
Total ,891440 ,836 ,93.8 ,156 ,17.5 ,156 ,17.5 ,0 1 5 79 ,142 ,117 60 ,43 33 50 61 ,,79 113 53 0 
