Comuna,No,Poblacion,Tasa
Alhue ,- ,7405 ,0.0 
Buin ,8 ,109641 ,7.3 
Calera de Tango ,7 ,28525 ,24.5 
Cerrillos ,4 ,88956 ,4.5 
Cerro Navia ,21 ,142465 ,14.7 
Colina ,39 ,180353 ,21.6 
Conchali ,18 ,139195 ,12.9 
Curacavi ,5 ,36430 ,13.7 
EI Bosque ,28 ,172000 ,16.3 
EI Monte ,- ,40014 ,2.5 
Estacion Central ,22 ,206792 ,10.6 
Huechuraba ,19 ,112528 ,16.9 
Independencia ,17 ,142065 ,12.0 
Isla de Maipo ,- ,40171 ,2.5 
La Cisterna ,12 ,100434 ,11.9 
La Florida ,58 ,402433 ,14.4 
La Granja ,8 ,122557 ,6.5 
La Pintana ,10 ,189335 ,5.3 
La Reina ,26 ,100252 ,25.9 
Lampa ,10 ,126898 ,7.9 
Las Condes ,208 ,330759 ,62.9 
Lo Barnechea ,78 ,124076 ,62.9 
Lo Espejo ,7 ,103865 ,6.7 
Lo Prado ,18 ,104403 ,17.2 
Macul ,15 ,134635 ,11.1 
Maipu ,55 ,578605 ,9.5 
Maria Pinto ,- ,14926 ,0.0 
Melipilla ,8 ,141612 ,5.6 
Nunoa ,84 ,250192 ,33.6 
Padre Hurtado ,11 ,74188 ,14.8 
Paine ,- ,82766 ,3.6 
Pedro Aguirre Cerda ,13 ,107803 ,12.1 
Penaflor ,13 ,101058 ,12.9 
Penalolen ,46 ,266798 ,17.2 
Pirque ,- ,30433 ,6.6 
Providencia ,87 ,157749 ,55.2 
