Purranque,21080,90,426.9,0,0.0,7,33.2,7,33.2
Puyehue ,11787 ,19 ,161.2 ,0 ,0.0 ,3 ,25.5 ,3 ,25.5 
Queilen ,5543 ,1 ,18.0 ,0 ,0.0 ,1 ,18.0 ,1 ,18.0 
Quellon ,29309 ,6 ,20.5 ,0 ,0.0 ,1 ,3.4 ,1 ,3.4 
Quemchi ,8783 ,14 ,159.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,4 ,48.2 ,O ,0.0 ,2 ,24.1 ,2 ,24.1 
Rio Negro ,14275 ,51 ,357.3 ,O ,0.0 ,2 ,14.0 ,2 ,14.0 
San Juan de la Costa ,7639 ,43 ,562.9 ,2 ,26.2 ,O ,0.0 ,O ,0.0 
San Pablo ,10553 ,15 ,142.1 ,1 ,9.5 ,O ,0.0 ,O ,0.0 
Desconocido & ,- ,73 ,- ,O ,- ,17 ,- ,17 ,- 
Total ,891440 ,3269 ,366.7 ,33 ,3.7 ,631 ,70.8 ,631 ,70.8 
