Romera,16170,13,80.4,0,0.0,0,0.0,00O120O
Sagrada Familia ,19469 ,2 ,10.3 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 0 1 0 
San Clemente& ,46292 ,25 ,54.0 ,7 ,15.1 ,7 ,15.1 ,O O O O 0 1 2 
San Javier& ,49451 ,34 ,68.8 ,9 ,18.2 ,9 ,18.2 ,O 0 O 0 2 6 4 
San Rafael ,9959 ,12 ,120.5 ,8 ,80.3 ,8 ,80.3 ,0 0 0 O 1 0 1 
Talca ,236724 ,203 ,85.8 ,29 ,12.3 ,29 ,12.3 ,O 3 9 13 19 11 16 
Teno ,30850 ,8 ,25.9 ,2 ,6.5 ,2 ,6.5 ,O O O O O 0 1 
Vichuquen ,4381 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O 0 0 O 
Villa Alegre ,17512 ,3 ,17.1 ,1 ,5.7 ,1 ,5.7 ,O O 0 0 0 O 1 
Yerbas Buenas& ,19200 ,8 ,41.7 ,6 ,31.3 ,6 ,31.3 ,O 0 O O 0 0 1 
Tota ,1131939 ,620 ,54.8 ,157 ,13.9 ,157 ,13.9 ,1 4 11 26 51 47 66 
