Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,12435 ,63.9 ,40.1 
XV Arica y Parinacota ,69 ,27.4 ,18.8 
I Tarapaca ,175 ,45.7 ,39.6 
II Antofagasta ,409 ,59.1 ,54.1 
III Atacama ,34 ,10.8 ,7.5 
IV Coquimbo ,106 ,12.7 ,7.2 
V Valparaiso ,781 ,39.8 ,21.5 
Region Metropolitana ,9342 ,115.0 ,78.4 
VI 'Higgins ,305 ,30.8 ,18.6 
VII Maule ,333 ,29.4 ,16.9 
XVI De Nuble ,100 ,19.5 ,9.7 
VIII Del Biobio ,283 ,17.0 ,10.2 
IX Araucania ,220 ,21.7 ,12.0 
XIV Los Rios ,60 ,14.8 ,7.7 
X Los Lagos ,135 ,15.1 ,9.4 
XI Aysen ,5 ,4.7 ,3.5 
XII Magallanes y la Antartica ,76 ,42.6 ,25.3 
Ignorada ,2 ,0.0 ,0.0 
