,,Nocasos,
Region ,Notificados ,Confirmados ,Tasa incidencia& 
Arica y Parinacota ,327 ,6 ,"2,4 "
Tarapaca ,328 ,6 ,"1,6 "
Antofagasta ,775 ,40 ,"5,8 "
Atacama ,192 ,3 ,"1,0 "
Coquimbo ,511 ,36 ,"4,3 "
Valparaiso ,2354 ,124 ,"6,3 "
Metropolitana ,15566 ,1494 ,"18,4 "
O'Higgins ,621 ,22 ,"2,2 "
Maule ,1455 ,75 ,"6,6 "
Nuble ,1386 ,257 ,"50,2 "
Biobio ,2407 ,125 ,"7,5 "
Araucania ,1393 ,272 ,"26,8 "
Los Rios ,683 ,32 ,"7,9 "
Los Lagos ,1011 ,155 ,"17,4 "
Aisen ,37 ,3 ,"2,8 "
Magallanes ,531 ,71 ,"39,8 "
Por determinar ,2061 ,23 ,
Total pais ,31638 ,2744 ,"14,1 "
