,,,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas.,NotificacionOTomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE SE SE 17 18 19 20 ,SE 21 ,SE SE 22 23 ,SE SE SE SE 24 25 26 27 
Ancud ,42458 ,102 ,240.2 ,1 ,2.4 ,7 ,16.5 ,7 ,16.5 ,0 0 0 0 ,1 0 6 3 ,1 21 19 23 ,10 ,2 4 ,4 1 5 2 
Calbuco ,36744 ,83 ,225.9 ,1 ,2.7 ,54 ,147.0 ,54 ,147.0 ,0 0 0 3 ,1 1 1 1 ,0 0 1 0 ,0 ,1 0 ,1 19 42 12 
Castro ,47607 ,9 ,18.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 2 ,O 5 O 0 ,0 0 1 O ,0 ,O O ,1 0 0 O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,1 0 O 0 ,O O 0 0 ,0 ,O O ,0 0 O O 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,1 ,6.2 ,1 ,6.2 ,0 0 0 0 ,0 0 0 0 ,0 0 0 0 ,0 ,0 0 ,O 0 1 O 
Cochamo ,4006 ,8 ,199.7 ,O ,0.0 ,6 ,149.8 ,6 ,149.8 ,O 0 0 0 ,0 0 1 0 ,0 0 0 0 ,O ,0 O ,O 1 6 O 
Curaco de Velez ,4066 ,15 ,368.9 ,O ,0.0 ,14 ,344.3 ,14 ,344.3 ,0 0 0 0 ,0 0 O 0 ,0 O 0 O ,0 ,O O ,1 0 12 2 
Dalcahue ,15069 ,7 ,46.5 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 ,0 O O 0 ,0 0 1 3 ,2 ,0 0 ,1 0 O O 
Fresia ,12656 ,21 ,165.9 ,O ,0.0 ,13 ,102.7 ,13 ,102.7 ,0 0 O 0 ,0 0 O O ,O O 0 0 ,O ,O O ,7 1 6 7 
Frutillar ,20223 ,90 ,445.0 ,O ,0.0 ,46 ,227.5 ,46 ,227.5 ,O 0 0 O ,1 3 2 O ,O O 1 O ,3 ,2 3 ,6 23 35 11 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 O 0 ,0 O 0 1 ,0 ,0 O ,O 0 0 O 
Hualaihue8 ,9525 ,12 ,126.0 ,O ,0.0 ,3 ,31.5 ,3 ,31.5 ,0 0 0 0 ,3 O 0 0 ,0 O O O ,O ,1 1 ,1 3 1 2 
Llanquihue ,18621 ,84 ,451.1 ,1 ,5.4 ,41 ,220.2 ,41 ,220.2 ,O 0 O O ,1 O O O ,O O 5 O ,O ,4 3 ,12 18 19 22 
Los Muermos& ,17817 ,22 ,123.5 ,O ,0.0 ,8 ,44.9 ,8 ,44.9 ,0 0 0 1 ,0 0 O O ,O O 1 O ,O ,O 1 ,1 10 5 3 
Maullin ,14894 ,31 ,208.1 ,O ,0.0 ,13 ,87.3 ,13 ,87.3 ,0 0 0 0 ,O O 1 0 ,0 O 0 5 ,9 ,O O ,1 2 5 8 
Osorno ,173410 ,482 ,278.0 ,12 ,6.9 ,19 ,11.0 ,19 ,11.0 ,O 0 3 59 ,104 64 36 18 ,15 24 17 8 ,20 ,30 23 ,25 17 11 8 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O O O ,O O O O ,O ,O O ,O O O O 
Puerto Montt& ,269398 ,727 ,269.9 ,4 ,1.5 ,233 ,86.5 ,233 ,86.5 ,0 1 2 14 ,18 11 3 5 ,1 1 9 19 ,57 ,59 75 ,100 119 144 89 
Puerto Octay ,9192 ,8 ,87.0 ,0 ,0.0 ,3 ,32.6 ,3 ,32.6 ,0 0 0 1 ,0 0 O 1 ,1 O 2 O ,O ,0 0 ,0 0 3 O 
Puerto Varas ,48620 ,85 ,174.8 ,1 ,2.1 ,16 ,32.9 ,16 ,32.9 ,0 O 1 O ,2 3 2 1 ,0 O 1 4 ,7 ,8 21 ,9 10 13 3 
