Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,& 56058 ,626 ,1116.7 ,45 ,80.3 ,45 ,80.3 
Carahue ,& 25486 ,164 ,643.5 ,11 ,43.2 ,11 ,43.2 
Cholchol ,& 12341 ,43 ,348.4 ,2 ,16.2 ,2 ,16.2 
Collipulli ,& 26148 ,311 ,1189.4 ,78 ,298.3 ,78 ,298.3 
Cunco ,18055 ,127 ,703.4 ,1 ,5.5 ,1 ,5.5 
Curacautin ,18178 ,43 ,236.5 ,O ,0.0 ,0 ,0.0 
Curarrehue ,7802 ,6 ,76.9 ,2 ,25.6 ,2 ,25.6 
Ercilla ,& 8458 ,117 ,1383.3 ,20 ,236.5 ,20 ,236.5 
Freire ,25446 ,131 ,514.8 ,2 ,7.9 ,2 ,7.9 
Galvarino ,12633 ,134 ,1060.7 ,O ,0.0 ,O ,0.0 
Gorbea ,& 15148 ,47 ,310.3 ,1 ,6.6 ,1 ,6.6 
Lautaro ,40746 ,228 ,559.6 ,14 ,34.4 ,14 ,34.4 
Loncoche ,24739 ,88 ,355.7 ,7 ,28.3 ,7 ,28.3 
Lonquimay ,11049 ,73 ,660.7 ,1 ,9.1 ,1 ,9.1 
Los Sauces ,7517 ,62 ,824.8 ,O ,0.0 ,0 ,0.0 
Lumaco ,10050 ,45 ,447.8 ,O ,0.0 ,O ,0.0 
Melipeuco ,6265 ,24 ,383.1 ,6 ,95.8 ,6 ,95.8 
Nueva Imperial ,33777 ,176 ,521.1 ,7 ,20.7 ,7 ,20.7 
Padre Las Casas ,82110 ,290 ,353.2 ,25 ,30.4 ,25 ,30.4 
Perquenco ,7223 ,89 ,1232.2 ,17 ,235.4 ,17 ,235.4 
Pitrufquen ,26096 ,132 ,505.8 ,15 ,57.5 ,15 ,57.5 
