,,,,,,,,,,Numero,deCasos,Nuevos,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (4 de abril al 11 de abril 
Andacollo ,11791 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Canela ,9546 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,0 ,O ,0 
Combarbala ,13884 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,0 ,O 
Coquimbo ,256735 ,21 ,8.2 ,1 ,0.4 ,1 ,0.4 ,0 ,0 ,4 ,13 ,3 ,1 ,O 
Illapel ,32801 ,17 ,51.8 ,13 ,39.6 ,13 ,39.6 ,0 ,0 ,0 ,0 ,4 ,7 ,6 
La Higuera ,4450 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,0 ,O 
La Serena ,249656 ,12 ,4.8 ,2 ,0.8 ,2 ,0.8 ,0 ,O ,0 ,3 ,7 ,2 ,O 
Los Vilos ,23374 ,1 ,4.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,0 ,0 ,0 
Monte Patria ,32527 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Ovalle ,121269 ,8 ,6.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,2 ,2 ,4 ,O ,O 
Paiguano ,4675 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Punitaqui ,12165 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,O 
Rio Hurtado ,4372 ,1 ,22.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,1 ,O ,0 ,O 
Salamanca ,29110 ,6 ,20.6 ,3 ,10.3 ,3 ,10.3 ,0 ,0 ,O ,1 ,2 ,1 ,2 
Vicuna ,29741 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Total ,836096 ,66 ,7.9 ,19 ,2.3 ,19 ,2.3 ,0 ,0 ,6 ,21 ,20 ,11 ,8 
