,,Nde,casos,,,
Region ,Poblacion ,Acumulados ,Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa letalidad 
Arica y Parinacota ,252110 ,513 ,7 ,203.5 ,2.8 ,1.4 
Tarapaca ,382773 ,1630 ,7 ,425.8 ,1.8 ,0.4 
Antofagasta ,691854 ,2015 ,21 ,291.2 ,3.0 ,1.0 
Atacama ,314709 ,185 ,O ,58.8 ,0.0 ,0.0 
Coquimbo ,836096 ,338 ,2 ,40.4 ,0.2 ,0.6 
Valparaiso ,1960170 ,2305 ,53 ,117.6 ,2.7 ,2.3 
Metropolitana ,8125072 ,58930 ,529 ,725.3 ,6.5 ,0.9 
O'Higgins ,991063 ,588 ,13 ,59.3 ,1.3 ,2.2 
Maule ,1131939 ,953 ,15 ,84.2 ,1.3 ,1.6 
Nuble ,511551 ,1139 ,22 ,222.7 ,4.3 ,1.9 
Biobio ,1663696 ,1458 ,10 ,87.6 ,0.6 ,0.7 
Araucania ,1014343 ,1857 ,45 ,183.1 ,4.4 ,2.4 
Los Rios ,405835 ,297 ,6 ,73.2 ,1.5 ,2.0 
Los Lagos ,891440 ,763 ,13 ,85.6 ,1.5 ,1.7 
Aisen ,107297 ,10 ,0 ,9.3 ,0.0 ,0.0 
Magallanes ,178362 ,1016 ,18 ,569.6 ,10.1 ,1.8 
Total pais ,19458310 ,73997 ,761 ,380.3 ,3.9 ,1.0 
