Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,29 ,506.2 ,0 ,0.0 ,18 ,314.2 ,18 ,314.2 
Caldera ,& 19426 ,191 ,983.2 ,1 ,5.1 ,77 ,396.4 ,77 ,396.4 
Chanaral ,13164 ,81 ,615.3 ,O ,0.0 ,18 ,136.7 ,18 ,136.7 
Copiapo ,& 171766 ,3362 ,1957.3 ,23 ,13.4 ,736 ,428.5 ,735 ,427.9 
Diego de Almagro ,& 14358 ,90 ,626.8 ,2 ,13.9 ,31 ,215.9 ,31 ,215.9 
Freirina ,& 7681 ,96 ,1249.8 ,O ,0.0 ,35 ,455.7 ,35 ,455.7 
Huasco ,& 11264 ,48 ,426.1 ,0 ,0.0 ,8 ,71.0 ,8 ,71.0 
Tierra Amarilla ,14312 ,278 ,1942.4 ,O ,0.0 ,59 ,412.2 ,59 ,412.2 
Vallenar ,& 57009 ,576 ,1010.4 ,1 ,1.8 ,68 ,119.3 ,68 ,119.3 
Desconocido ,& - ,31 ,- ,0 ,- ,13 ,- ,13 ,- 
Total ,314709 ,4782 ,1519.5 ,27 ,8.6 ,1063 ,337.8 ,1062 ,337.5 
