Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,11791 ,71 ,602.2 ,11 ,93.3 ,11 ,93.3 
Canela ,9546 ,57 ,597.1 ,20 ,209.5 ,20 ,209.5 
Combarbala ,13884 ,50 ,360.1 ,9 ,64.8 ,9 ,64.8 
Coquimbo ,& 256735 ,3463 ,1348.9 ,419 ,163.2 ,418 ,162.8 
Illapel ,32801 ,366 ,1115.8 ,27 ,82.3 ,27 ,82.3 
La Higuera ,4450 ,92 ,2067.4 ,6 ,134.8 ,6 ,134.8 
La Serena ,249656 ,2879 ,1153.2 ,270 ,108.1 ,268 ,107.3 
LOs Vilos ,23374 ,186 ,795.8 ,30 ,128.3 ,29 ,124.1 
Monte Patria ,& 32527 ,344 ,1057.6 ,40 ,123.0 ,40 ,123.0 
Ovalle ,& 121269 ,1712 ,1411.7 ,237 ,195.4 ,237 ,195.4 
Paiguano ,4675 ,12 ,256.7 ,0 ,0.0 ,O ,0.0 
Punitaqui ,12165 ,124 ,1019.3 ,21 ,172.6 ,21 ,172.6 
Rio Hurtado ,& 4372 ,40 ,914.9 ,6 ,137.2 ,6 ,137.2 
Salamanca ,& 29110 ,179 ,614.9 ,16 ,55.0 ,16 ,55.0 
Vicuna ,29741 ,170 ,571.6 ,10 ,33.6 ,10 ,33.6 
Desconocido ,& - ,143 ,- ,12 ,- ,12 ,- 
Total ,836096 ,9888 ,1182.6 ,1134 ,135.6 ,1130 ,135.2 
