Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,,15174 ,107 ,705.2 ,7 ,46.1 ,4 ,26.4 ,3 ,19.8 
Cabildo ,& ,20663 ,237 ,1147.0 ,16 ,77.4 ,27 ,130.7 ,27 ,130.7 
Calera ,& ,53591 ,564 ,1052.4 ,15 ,28.0 ,95 ,177.3 ,94 ,175.4 
Calle Larga ,& ,16482 ,235 ,1425.8 ,O ,0.0 ,17 ,103.1 ,17 ,103.1 
Cartagena ,& ,25357 ,162 ,638.9 ,3 ,11.8 ,15 ,59.2 ,15 ,59.2 
Casablanca ,& ,29170 ,156 ,534.8 ,1 ,3.4 ,13 ,44.6 ,13 ,44.6 
Catemu ,& ,15213 ,102 ,670.5 ,3 ,19.7 ,14 ,92.0 ,14 ,92.0 
Con Con ,& ,45889 ,430 ,937.0 ,6 ,13.1 ,51 ,111.1 ,51 ,111.1 
EI Quisco ,& ,17742 ,151 ,851.1 ,3 ,16.9 ,13 ,73.3 ,13 ,73.3 
EI Tabo ,& ,14338 ,176 ,1227.5 ,8 ,55.8 ,9 ,62.8 ,9 ,62.8 
Hijuelas ,& ,19099 ,152 ,795.9 ,3 ,15.7 ,33 ,172.8 ,33 ,172.8 
Isla de Pascua ,,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Juan Fernandez ,,1033 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
La Cruz ,& ,25321 ,146 ,576.6 ,2 ,7.9 ,23 ,90.8 ,23 ,90.8 
La Ligua ,& ,37739 ,282 ,747.2 ,11 ,29.1 ,35 ,92.7 ,35 ,92.7 
Limache ,& ,49931 ,610 ,1221.7 ,13 ,26.0 ,51 ,102.1 ,51 ,102.1 
Llaillay ,,26533 ,288 ,1085.4 ,5 ,18.8 ,44 ,165.8 ,44 ,165.8 
LOs Andes ,& ,68093 ,917 ,1346.7 ,32 ,47.0 ,86 ,126.3 ,86 ,126.3 
Nogales ,& ,23490 ,125 ,532.1 ,2 ,8.5 ,22 ,93.7 ,22 ,93.7 
Olmue ,& ,19266 ,116 ,602.1 ,1 ,5.2 ,8 ,41.5 ,8 ,41.5 
Panquehue ,,7633 ,88 ,1152.9 ,0 ,0.0 ,20 ,262.0 ,20 ,262.0 
