Comuna,No,Poblacion,Tasa
Bulnes ,18 ,22607 ,"79,6 "
Chillan ,173 ,198624 ,"87,1 "
Chillan Viejo ,22 ,33827 ,"65,0 "
Cobquecura ,- ,5275 ,"0,0 "
Coelemu ,- ,16845 ,"5,9 "
Coihueco ,- ,28375 ,"10,6 "
EI Carmen ,- ,12334 ,"16,2 "
Ninhue ,- ,5414 ,"0,0 "
Niquen ,- ,11567 ,"0,0 "
Pemuco ,- ,8639 ,"0,0 "
Pinto ,- ,11880 ,"16,8 "
Portezuelo ,- ,4940 ,"0,0 "
Quillon ,7 ,18777 ,"37,3 "
Quirihue ,- ,12192 ,"0,0 "
Ranquil ,- ,6261 ,"16,0 "
San Carlos ,13 ,56252 ,"23,1 "
San Fabian ,5 ,4654 ,"107,4 "
San Ignacio ,- ,16624 ,"6,0 "
San Nicolas ,- ,12172 ,"16,4 "
Treguaco ,- ,5696 ,"0,0 "
Yungay ,7 ,18596 ,"37,6 "
Por determinar ,- ,,
Total ,259 ,511551 ,"50,6 "
