2.0,000,1,3,3,3,8021
,,0 ,0 ,0 ,0 ,0 0 0 0 
0.0 ,0 0 0 ,0 ,0 ,0 ,0 ,0 0 0 0 
,,34 ,17 ,24 ,8 ,11 3 2 7 
,,0 ,0 ,0 ,0 ,0 0 0 0 
,,0 ,2 ,0 ,0 ,0 0 0 0 
,,0 ,0 ,1 ,0 ,0 1 0 0 
17.1 ,0 0 1 ,16 ,16 ,17 ,14 ,14 20 17 12 
,,1 ,2 ,1 ,0 ,0 0 0 0 
23.8 ,0 0 0 ,9 ,11 ,12 ,7 ,9 1 3 11 
0.0 ,0 0 0 ,0 ,0 ,1 ,0 ,0 0 0 0 
27.1 ,0 0 0 ,0 ,5 ,0 ,1 ,1 1 2 4 
,,,,,,
