Treguaco,5696,3,52.7,0,0.0,2,35.1,2,35.1,000,0,O,0,00,00,O,1,0,O,11
Yungay ,18596 ,69 ,371.0 ,0 ,0.0 ,6 ,32.3 ,6 ,32.3 ,0 0 O ,3 ,16 ,21 ,3 4 ,6 2 ,2 ,2 ,0 ,7 ,2 1 
Total ,511551 ,1735 ,339.2 ,20 ,3.9 ,350 ,68.4 ,348 ,68.0 ,0 1 35 ,168 ,219 ,165 ,74 60 ,50 39 ,74 ,176 ,164 ,202 ,233 75 
