Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Alto del Carmen ,683 ,976 ,825 
Caldera ,228 ,988 ,924 
Chanaral ,393 ,993 ,986 
Copiapo ,375 ,975 ,894 
Diego de Almagro ,477 ,1000 ,809 
Freirina ,315 ,1000 ,931 
Huasco ,833 ,977 ,961 
Tierra Amarilla ,314 ,988 ,925 
Vallenar ,277 ,973 ,854 
Total ,374 ,978 ,898 
