Grupoedad,Hombre,Mujer
00 04 anos ,3240 ,2990 
05 09 anos ,2604 ,2450 
10 14 anos ,2979 ,3090 
15 19 anos ,5219 ,5947 
20 24 anos ,13911 ,13840 
25 29 anos ,22215 ,21659 
30 34 anos ,22712 ,20193 
