,,,,,,,0O01,20,O10,00,O,3,10,6
,6 ,30.8 ,3 ,15.4 ,3 ,15.4 ,0 0 O 0 ,0 1 ,0 1 ,0 O ,1 ,0 ,3 ,0 
,60 ,129.6 ,19 ,41.0 ,19 ,41.0 ,O O O O ,O 1 ,2 6 ,1 8 ,6 ,13 ,18 ,5 
,54 ,109.2 ,12 ,24.3 ,12 ,24.3 ,O O O O ,2 6 ,4 7 ,4 3 ,8 ,8 ,8 ,4 
,,,,,,,0 O O O ,1 O ,1 1 ,0 0 ,5 ,9 ,28 ,3 
,,,,,,,0 3 9 13 ,19 11 ,16 74 ,16 12 ,21 ,49 ,64 ,22 
,,,,,,,O 0 0 O ,O O ,1 1 ,1 3 ,1 ,3 ,2 ,O 
,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O O ,O O ,O 0 ,0 ,O ,O ,O 
,,,,,,,0 0 0 O ,0 O ,1 1 ,O 0 ,1 ,2 ,O ,1 
,,,,,,,0 O O O ,O 0 ,1 0 ,2 0 ,4 ,9 ,9 ,3 
,1377 ,121.6 ,523 ,46.2 ,521 ,46.0 ,2 4 12 26 ,51 47 ,66 160 ,48 48 ,111 ,228 ,430 ,144 
