Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& 44143 ,422 ,956.0 ,8 ,18.1 ,8 ,18.1 
Chanco ,9331 ,60 ,643.0 ,8 ,85.7 ,8 ,85.7 
Colbun ,22565 ,261 ,1156.7 ,24 ,106.4 ,24 ,106.4 
Constitucion ,& 50348 ,430 ,854.1 ,19 ,37.7 ,19 ,37.7 
Curepto ,9426 ,100 ,1060.9 ,26 ,275.8 ,26 ,275.8 
Curico ,163626 ,2321 ,1418.5 ,84 ,51.3 ,81 ,49.5 
Empedrado ,4206 ,35 ,832.1 ,2 ,47.6 ,2 ,47.6 
Hualane ,10222 ,116 ,1134.8 ,0 ,0.0 ,O ,0.0 
Licanten ,6989 ,26 ,372.0 ,0 ,0.0 ,O ,0.0 
Linares ,& 101073 ,1011 ,1000.3 ,155 ,153.4 ,155 ,153.4 
Longavi ,& 32810 ,331 ,1008.8 ,24 ,73.1 ,24 ,73.1 
Maule ,60000 ,569 ,948.3 ,50 ,83.3 ,50 ,83.3 
Molina ,& 49800 ,357 ,716.9 ,28 ,56.2 ,28 ,56.2 
Parral ,& 44544 ,272 ,610.6 ,8 ,18.0 ,8 ,18.0 
Pelarco ,9083 ,136 ,1497.3 ,2 ,22.0 ,2 ,22.0 
Pelluhue ,8092 ,91 ,1124.6 ,15 ,185.4 ,14 ,173.0 
Pencahue ,8601 ,69 ,802.2 ,12 ,139.5 ,12 ,139.5 
Rauco ,11248 ,122 ,1084.6 ,4 ,35.6 ,4 ,35.6 
Retiro ,& 21071 ,174 ,825.8 ,8 ,38.0 ,8 ,38.0 
Rio Claro ,14753 ,119 ,806.6 ,3 ,20.3 ,3 ,20.3 
Romeral ,16170 ,310 ,1917.1 ,12 ,74.2 ,11 ,68.0 
