Comuna,Poblacion,Confirmados,Tasadeincidencia
Antartica ,137 ,- ,0.0 
Cabo de Hornos ,1983 ,6 ,302.6 
Laguna Blanca ,264 ,- ,0.0 
Natales ,23782 ,5 ,21.0 
Porvenir ,7323 ,- ,27.3 
Primavera ,694 ,- ,0.0 
Punta Arenas ,141984 ,143 ,100.7 
Rio Verde ,211 ,- ,0.0 
San Gregorio ,681 ,- ,0.0 
Timauke ,282 ,- ,0.0 
Torres del Paine ,1021 ,- ,0.0 
Tota ,178362 ,156 ,87.5 
