Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& 425725 ,9605 ,2256.2 ,576 ,135.3 ,571 ,134.1 
Calama ,& 190336 ,7122 ,3741.8 ,185 ,97.2 ,184 ,96.7 
Maria Elena ,& 6814 ,340 ,4989.7 ,2 ,29.4 ,2 ,29.4 
Mejillones ,14776 ,545 ,3688.4 ,25 ,169.2 ,25 ,169.2 
Ollague ,287 ,24 ,8362.4 ,O ,0.0 ,O ,0.0 
San Pedro de Atacama ,10434 ,326 ,3124.4 ,21 ,201.3 ,21 ,201.3 
Sierra Gorda ,1746 ,78 ,4467.4 ,1 ,57.3 ,1 ,57.3 
Taltal ,13657 ,168 ,1230.1 ,13 ,95.2 ,13 ,95.2 
Tocopilla ,& 28079 ,322 ,1146.8 ,24 ,85.5 ,24 ,85.5 
Desconocido ,& - ,271 ,- ,17 ,- ,17 ,- 
Total ,691854 ,18801 ,2717.5 ,864 ,124.9 ,858 ,124.0 
