Papudo,6.201,65,10482,0,00,6,968,6,968,000
Petorca ,10.558 ,55 ,5209 ,0 ,00 ,12 ,1137 ,12 ,,
Puchuncavi ,20.071 ,108 ,5381 ,4 ,199 ,29 ,1445 ,29 ,,
Putaendo ,17.645 ,151 ,8558 ,0 ,00 ,39 ,2210 ,39 ,2210 ,0 0 0 
Quillota ,97.572 ,894 ,9162 ,15 ,154 ,231 ,2367 ,227 ,2326 ,0 1 0 
Quilpue ,167.085 ,992 ,5937 ,9 ,54 ,228 ,1365 ,227 ,1359 ,O 1 3 
Quintero& ,36.135 ,282 ,7804 ,5 ,138 ,47 ,1301 ,47 ,1301 ,1 0 0 
Rinconada& ,11.263 ,128 ,11365 ,2 ,178 ,23 ,2042 ,23 ,,
San Antonio ,96.761 ,983 ,10159 ,25 ,258 ,114 ,1178 ,114 ,1178 ,0 0 0 
San Esteban ,20.643 ,137 ,6637 ,0 ,00 ,33 ,1599 ,33 ,,
San Felipe ,83.494 ,842 ,10085 ,18 ,216 ,155 ,1856 ,155 ,,
Santa Maria& ,16.367 ,145 ,8859 ,2 ,122 ,28 ,1711 ,28 ,1711 ,0 0 0 
Santo Domingo ,11.934 ,119 ,9972 ,1 ,84 ,8 ,670 ,8 ,,
Valparaiso ,315.732 ,2766 ,8761 ,49 ,155 ,501 ,1587 ,500 ,,
Villa Alemana ,139.310 ,954 ,6848 ,12 ,86 ,168 ,1206 ,167 ,,
Vina del Mar& ,361.371 ,2542 ,7034 ,53 ,147 ,474 ,1312 ,474 ,1312 ,0 0 6 
Zapallar ,7.994 ,33 ,4128 ,2 ,250 ,17 ,2127 ,17 ,,
Desconocido& ,- ,342 ,- ,0 ,- ,156 ,- ,156 ,,
Total ,1.960.170 ,15184 ,7746 ,272 ,139 ,3049 ,1555 ,3036 ,1549 ,2 4 15 
