Quilpue,&0134,9,64,6,1219,46,78,79,111,153,153,218,171,186,121,552,O
Quintero ,& 1 O O 2 ,1 ,1 O ,6 ,2 3 ,24 ,23 ,28 ,41 ,50 ,40 ,42 ,40 ,20 ,27 ,16 2 ,0 
Rinconada ,& 0 O O O ,O ,3 O ,O ,O O ,2 ,15 ,18 ,15 ,19 ,20 ,20 ,15 ,14 ,12 ,7 1 ,O 
San Antonio ,& O O O O ,6 ,14 11 ,22 ,37 72 ,59 ,101 ,94 ,138 ,145 ,119 ,93 ,92 ,80 ,59 ,57 9 ,0 
San Esteban ,& O O O O ,O ,1 O ,1 ,2 2 ,7 ,4 ,10 ,16 ,28 ,19 ,18 ,28 ,27 ,29 ,14 1 ,0 
San Felipe ,& 0 O O 3 ,3 ,2 O ,1 ,2 6 ,19 ,60 ,70 ,116 ,184 ,174 ,106 ,132 ,84 ,58 ,34 4 ,0 
Santa Maria ,& O O O O ,1 ,1 O ,O ,4 15 ,3 ,5 ,8 ,13 ,18 ,30 ,32 ,24 ,28 ,18 ,12 2 ,O 
Santo Domingo ,& O 0 2 1 ,1 ,5 4 ,4 ,4 5 ,4 ,11 ,7 ,9 ,32 ,21 ,10 ,10 ,7 ,4 ,2 1 ,O 
Valparaiso ,& 0 1 2 11 ,14 ,13 20 ,17 ,26 83 ,116 ,151 ,236 ,314 ,486 ,524 ,493 ,374 ,303 ,293 ,198 18 ,0 
Villa Alemana ,& O O 1 7 ,4 ,3 O ,1 ,5 31 ,42 ,50 ,73 ,125 ,187 ,180 ,212 ,137 ,159 ,108 ,62 8 ,O 
Vina del Mar ,& 1 O 5 23 ,27 ,23 13 ,21 ,26 78 ,143 ,200 ,236 ,302 ,409 ,383 ,441 ,416 ,342 ,234 ,159 22 ,O 
Zapallar ,& O O O O ,O ,1 0 ,O ,O O ,O ,0 ,O ,1 ,2 ,3 ,18 ,13 ,13 ,10 ,7 O ,0 
Desconocido ,& 0 0 0 2 ,3 ,3 1 ,1 ,O O ,11 ,8 ,5 ,39 ,29 ,37 ,65 ,53 ,64 ,34 ,35 18 ,0 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
