Comuna,Proporcion,decasosinvestigadosantesde,nuevos48h,Proporcioninvestigados,decontactosantesde,nuevos48h
,Casos Nuevos ,Investigado S ,% ,Contactos Nuevos ,Investigado S ,% 
Cauquenes ,1 ,1 ,1000 ,7 ,7 ,1000 
Chanco ,0 ,,- ,0 ,0 ,-- 
Colbun ,10 ,10 ,1000 ,40 ,40 ,1000 
Constitucion ,19 ,18 ,947 ,49 ,49 ,1000 
Curepto ,7 ,5 ,714 ,21 ,21 ,1000 
Curico ,77 ,71 ,922 ,152 ,149 ,980 
Empedrado ,1 ,0 ,00 ,0 ,0 ,- 
Hualane ,1 ,1 ,1000 ,0 ,O ,- 
Licanten ,1 ,1 ,1000 ,2 ,2 ,1000 
Linares ,76 ,74 ,974 ,180 ,178 ,989 
Longavi ,11 ,11 ,1000 ,40 ,40 ,1000 
