LoBarnechea8,124076,576,464.2,189,152.3,188,151.5,O21452,28,16,3434,63,121,154,580
Lo Espejo& ,103865 ,525 ,505.5 ,256 ,246.5 ,255 ,245.5 ,0 0 1 4 ,7 ,22 ,26 21 ,53 ,113 ,232 ,46 0 
Lo Prado& ,104403 ,435 ,416.7 ,119 ,114.0 ,118 ,113.0 ,0 1 2 5 ,19 ,13 ,20 29 ,94 ,120 ,98 ,34 0 
Macul& ,134635 ,671 ,498.4 ,324 ,240.7 ,322 ,239.2 ,0 1 3 15 ,21 ,17 ,12 ,20 75 ,156 ,262 ,89 0 
Maipu ,578605 ,1347 ,232.8 ,513 ,88.7 ,513 ,88.7 ,O 0 13 46 ,67 ,74 ,75 ,110 126 ,264 ,436 ,136 0 
Maria Pinto ,14926 ,5 ,33.5 ,2 ,13.4 ,2 ,13.4 ,O 0 0 0 ,0 ,0 ,1 ,0 2 ,0 ,2 ,0 0 
Melipilla ,141612 ,197 ,139.1 ,58 ,41.0 ,57 ,40.3 ,0 1 1 4 ,5 ,5 ,8 21 ,30 ,56 ,52 ,14 0 
Nunoa& ,250192 ,792 ,316.6 ,305 ,121.9 ,302 ,120.7 ,1 1 27 52 ,37 ,46 ,45 63 ,62 ,120 ,249 ,89 0 
Padre Hurtado ,74188 ,135 ,182.0 ,37 ,49.9 ,37 ,49.9 ,0 1 0 5 ,9 ,5 ,11 7 ,15 ,39 ,30 ,13 0 
Paine& ,82766 ,126 ,152.2 ,73 ,88.2 ,73 ,88.2 ,0 1 1 2 ,0 ,3 ,5 3 ,5 ,24 ,63 ,19 0 
Pedro Aguirre Cerda& ,107803 ,657 ,609.4 ,306 ,283.9 ,305 ,282.9 ,0 0 3 4 ,14 ,23 ,44 32 ,70 ,138 ,257 ,72 O 
Penaflor8 ,101058 ,155 ,153.4 ,48 ,47.5 ,48 ,47.5 ,0 1 4 3 ,9 ,5 ,7 ,14 24 ,33 ,41 ,14 0 
Pefalolen& ,266798 ,1469 ,550.6 ,739 ,277.0 ,739 ,277.0 ,0 3 9 25 ,34 ,37 ,50 63 ,117 ,330 ,611 ,190 O 
Pirque ,30433 ,107 ,351.6 ,46 ,151.2 ,46 ,151.2 ,0 O 3 1 ,3 ,1 ,5 3 ,15 ,27 ,35 ,14 0 
Providencia& ,157749 ,520 ,329.6 ,192 ,121.7 ,189 ,119.8 ,0 3 29 62 ,20 ,21 ,30 31 ,33 ,86 ,152 ,53 0 
Pudahuel8 ,253139 ,744 ,293.9 ,246 ,97.2 ,244 ,96.4 ,0 1 2 19 ,23 ,31 ,35 39 ,121 ,196 ,222 ,55 0 
Puente Alto& ,645909 ,2780 ,430.4 ,1071 ,165.8 ,1070 ,165.7 ,1 2 7 55 ,95 ,157 ,180 ,246 255 ,606 ,855 ,321 0 
Quilicura& ,254694 ,1193 ,468.4 ,285 ,111.9 ,284 ,111.5 ,0 4 3 20 ,24 ,42 ,40 ,127 259 ,363 ,233 ,78 0 
Quinta Normal& ,136368 ,627 ,459.8 ,173 ,126.9 ,173 ,126.9 ,0 2 4 13 ,24 ,35 ,47 47 ,90 ,177 ,147 ,41 0 
Recoleta& ,190075 ,1516 ,797.6 ,507 ,266.7 ,506 ,266.2 ,0 0 5 15 ,18 ,31 ,46 102 ,258 ,482 ,441 ,117 1 
Renca& ,160847 ,605 ,376.1 ,182 ,113.2 ,182 ,113.2 ,0 0 4 7 ,11 ,7 ,30 62 ,100 ,177 ,167 ,40 O 
San Bernardo& ,334836 ,1247 ,372.4 ,480 ,143.4 ,478 ,142.8 ,O 2 6 20 ,36 ,65 ,71 ,118 140 ,264 ,412 ,113 0 
San Joaquin& ,103485 ,904 ,873.6 ,451 ,435.8 ,449 ,433.9 ,0 0 1 14 ,22 ,14 ,37 38 ,76 ,195 ,378 ,129 0 
San Jose de Maipo& ,18644 ,73 ,391.5 ,35 ,187.7 ,35 ,187.7 ,0 0 1 1 ,1 ,2 ,2 1 ,4 ,19 ,31 ,11 0 
San Miguel& ,133059 ,665 ,499.8 ,274 ,205.9 ,273 ,205.2 ,0 0 3 24 ,21 ,25 ,43 43 ,68 ,138 ,227 ,73 0 
San Pedro ,11953 ,18 ,150.6 ,2 ,16.7 ,2 ,16.7 ,0 0 0 0 ,O ,0 ,0 2 ,9 ,5 ,2 ,O 0 
San Ramon8 ,86510 ,719 ,831.1 ,346 ,400.0 ,344 ,397.6 ,0 0 1 4 ,11 ,9 ,11 40 ,87 ,190 ,297 ,69 0 
Santiago8 ,503147 ,2961 ,588.5 ,1060 ,210.7 ,1059 ,210.5 ,2 2 28 94 ,94 ,133 ,154 ,164 340 ,749 ,990 ,211 0 
