ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,6282 ,2491.8 ,824 ,326.8 
Region de Tarapaca ,382773 ,10354 ,2705.0 ,784 ,204.8 
Region de Antofagasta ,691854 ,17744 ,2564.7 ,1155 ,166.9 
Region de Atacama ,314709 ,4782 ,1519.5 ,1062 ,337.5 
Region de Coquimbo ,836096 ,9364 ,1120.0 ,1165 ,139.3 
Region de Valparaiso ,1960170 ,28131 ,1435.1 ,2402 ,122.5 
Region Metropolitana de Santiago ,8125072 ,295864 ,3641.4 ,6442 ,79.3 
Region del Libertador Genera Bernardo OHiggins ,991063 ,14665 ,1479.7 ,1160 ,117.0 
Region del Maule ,1131939 ,11310 ,999.2 ,909 ,80.3 
Region del Nuble ,511551 ,4973 ,972.1 ,404 ,79.0 
Region del Biobio ,1663696 ,15741 ,946.1 ,2119 ,127.4 
Region de la Araucania ,1014343 ,4678 ,461.2 ,288 ,28.4 
Region de LOs Rios ,405835 ,1069 ,263.4 ,79 ,19.5 
Region de Los Lagos ,891440 ,5819 ,652.8 ,885 ,99.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,98 ,91.3 ,13 ,12.1 
Region de Magallanes y la Antartica Chilena ,178362 ,2381 ,1334.9 ,399 ,223.7 
Desconocido ,- ,65 ,- ,2 ,- 
Total pais ,19458310 ,433320 ,2226.9 ,20092 ,103.3 
