Purranque,21080,83,393.7,0,0.0,O,0.0,0,0.0
Puyehue ,11787 ,16 ,135.7 ,O ,0.0 ,3 ,25.5 ,3 ,25.5 
Queilen ,5543 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Quellon & ,29309 ,6 ,20.5 ,O ,0.0 ,1 ,3.4 ,1 ,3.4 
Quemchi ,8783 ,14 ,159.4 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Quinchao ,8298 ,2 ,24.1 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Rio Negro & ,14275 ,49 ,343.3 ,O ,0.0 ,4 ,28.0 ,4 ,28.0 
San Juan de la Costa ,7639 ,43 ,562.9 ,2 ,26.2 ,1 ,13.1 ,1 ,13.1 
San Pablo ,10553 ,15 ,142.1 ,1 ,9.5 ,1 ,9.5 ,1 ,9.5 
,,,,,,,,17 ,- 
