Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,,22607 ,308 ,1362.4 ,5 ,22.1 ,46 ,203.5 ,46 ,203.5 
Chillan ,& ,198624 ,1493 ,751.7 ,15 ,7.6 ,277 ,139.5 ,276 ,139.0 
Chillan Viejo ,& ,33827 ,240 ,709.5 ,1 ,3.0 ,36 ,106.4 ,36 ,106.4 
Cobquecura ,,5275 ,1 ,19.0 ,O ,0.0 ,1 ,19.0 ,1 ,19.0 
Coelemu ,,16845 ,70 ,415.6 ,2 ,11.9 ,8 ,47.5 ,7 ,41.6 
Coihueco ,,28375 ,153 ,539.2 ,4 ,14.1 ,54 ,190.3 ,54 ,190.3 
EI Carmen ,,12334 ,86 ,697.3 ,2 ,16.2 ,19 ,154.0 ,19 ,154.0 
Ninhue ,,5414 ,41 ,757.3 ,3 ,55.4 ,3 ,55.4 ,3 ,55.4 
Niquen ,& ,11567 ,72 ,622.5 ,2 ,17.3 ,3 ,25.9 ,3 ,25.9 
Pemuco ,,8639 ,95 ,1099.7 ,2 ,23.2 ,16 ,185.2 ,14 ,162.1 
Pinto ,,11880 ,54 ,454.5 ,O ,0.0 ,17 ,143.1 ,17 ,143.1 
Portezuelo ,,4940 ,15 ,303.6 ,O ,0.0 ,3 ,60.7 ,3 ,60.7 
Quillon ,,18777 ,164 ,873.4 ,4 ,21.3 ,38 ,202.4 ,38 ,202.4 
Quirihue ,,12192 ,57 ,467.5 ,1 ,8.2 ,16 ,131.2 ,16 ,131.2 
Ranquil ,,6261 ,29 ,463.2 ,O ,0.0 ,3 ,47.9 ,3 ,47.9 
San Carlos ,& ,56252 ,432 ,768.0 ,4 ,7.1 ,83 ,147.6 ,83 ,147.6 
San Fabian ,,4654 ,10 ,214.9 ,O ,0.0 ,1 ,21.5 ,1 ,21.5 
San Ignacio ,& ,16624 ,157 ,944.4 ,3 ,18.0 ,19 ,114.3 ,19 ,114.3 
San Nicolas ,,12172 ,96 ,788.7 ,2 ,16.4 ,29 ,238.3 ,29 ,238.3 
Treguaco ,,5696 ,5 ,87.8 ,1 ,17.6 ,1 ,17.6 ,1 ,17.6 
Yungay ,,18596 ,107 ,575.4 ,O ,0.0 ,11 ,59.2 ,11 ,59.2 
Desconocido ,& ,- ,2 ,- ,O ,- ,2 ,- ,2 ,- 
