Grupoedad,Hombre,Mujer
00 04 anos ,3132 ,2879 
05 09 anos ,2489 ,2353 
10 14 anos ,2860 ,2937 
15 19 anos ,5016 ,5734 
20 24 anos ,13505 ,13388 
25 29 anos ,21603 ,21027 
30 34 anos ,22065 ,19698 
35 39 anos ,18292 ,15724 
40 44 anos ,15269 ,13199 
45 49 anos ,14857 ,13864 
50 54 anos ,14132 ,13121 
