Peumo,14952,142,949.7,30,200.6,30,200.6
Pichidegua ,20743 ,359 ,1730.7 ,71 ,342.3 ,71 ,342.3 
Pichilemu ,17882 ,60 ,335.5 ,5 ,28.0 ,5 ,28.0 
Placilla ,9164 ,77 ,840.2 ,3 ,32.7 ,3 ,32.7 
Pumanque ,3531 ,5 ,141.6 ,O ,0.0 ,0 ,0.0 
Quinta de Tilcoco ,& 13877 ,132 ,951.2 ,1 ,7.2 ,1 ,7.2 
Rancagua ,& 265211 ,6555 ,2471.6 ,328 ,123.7 ,327 ,123.3 
Rengo ,63710 ,1240 ,1946.3 ,44 ,69.1 ,44 ,69.1 
Requinoa ,& 30371 ,457 ,1504.7 ,21 ,69.1 ,21 ,69.1 
San Fernando ,& 78642 ,732 ,930.8 ,90 ,114.4 ,90 ,114.4 
San Vicente ,50617 ,740 ,1462.0 ,65 ,128.4 ,65 ,128.4 
Santa Cruz ,& 41096 ,364 ,885.7 ,75 ,182.5 ,75 ,182.5 
Desconocido ,& - ,42 ,- ,1 ,- ,1 ,- 
Total ,991063 ,16006 ,1615.0 ,1149 ,115.9 ,1147 ,115.7 
