Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& ,22607 ,458 ,2025.9 ,8 ,35.4 ,75 ,331.8 ,74 ,327.3 
Chillan ,& ,198624 ,1881 ,947.0 ,18 ,9.1 ,140 ,70.5 ,139 ,70.0 
Chillan Viejo ,& ,33827 ,305 ,901.6 ,2 ,5.9 ,16 ,47.3 ,16 ,47.3 
Cobquecura ,,5275 ,4 ,75.8 ,O ,0.0 ,2 ,37.9 ,2 ,37.9 
Coelemu ,,16845 ,85 ,504.6 ,3 ,17.8 ,8 ,47.5 ,8 ,47.5 
Coihueco ,,28375 ,223 ,785.9 ,4 ,14.1 ,16 ,56.4 ,16 ,56.4 
EI Carmen ,& ,12334 ,103 ,835.1 ,3 ,24.3 ,4 ,32.4 ,4 ,32.4 
Ninhue ,,5414 ,52 ,960.5 ,3 ,55.4 ,3 ,55.4 ,3 ,55.4 
Niquen ,,11567 ,95 ,821.3 ,3 ,25.9 ,6 ,51.9 ,6 ,51.9 
Pemuco ,,8639 ,105 ,1215.4 ,2 ,23.2 ,2 ,23.2 ,2 ,23.2 
Pinto ,,11880 ,71 ,597.6 ,O ,0.0 ,3 ,25.3 ,3 ,25.3 
Portezuelo ,,4940 ,22 ,445.3 ,O ,0.0 ,1 ,20.2 ,1 ,20.2 
Quillon ,& ,18777 ,190 ,1011.9 ,4 ,21.3 ,7 ,37.3 ,7 ,37.3 
Quirihue ,& ,12192 ,80 ,656.2 ,2 ,16.4 ,10 ,82.0 ,10 ,82.0 
Ranquil ,,6261 ,47 ,750.7 ,O ,0.0 ,6 ,95.8 ,6 ,95.8 
San Carlos ,,56252 ,513 ,912.0 ,6 ,10.7 ,18 ,32.0 ,18 ,32.0 
San Fabian ,,4654 ,15 ,322.3 ,0 ,0.0 ,1 ,21.5 ,1 ,21.5 
San Ignacio ,& ,16624 ,177 ,1064.7 ,6 ,36.1 ,3 ,18.0 ,3 ,18.0 
San Nicolas ,,12172 ,134 ,1100.9 ,3 ,24.6 ,16 ,131.4 ,16 ,131.4 
Treguaco ,,5696 ,14 ,245.8 ,1 ,17.6 ,6 ,105.3 ,6 ,105.3 
Yungay ,,18596 ,144 ,774.4 ,1 ,5.4 ,9 ,48.4 ,9 ,48.4 
Desconocido ,& ,- ,1 ,- ,0 ,- ,O ,- ,0 ,- 
Total ,,511551 ,4719 ,922.5 ,69 ,13.5 ,352 ,68.8 ,350 ,68.4 
