Comuna,SESESE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SESE
,9 10 11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 
Alhue ,O O O ,O ,O ,1 ,O ,O ,O ,O ,4 ,1 ,4 ,9 ,15 ,25 ,15 ,19 ,32 ,23 ,3 O 
Buin ,& O O O ,5 ,17 ,10 ,13 ,19 ,21 ,62 ,136 ,188 ,231 ,217 ,283 ,270 ,206 ,167 ,164 ,114 ,25 O 
Calera de Tango ,& O O O ,4 ,4 ,1 ,1 ,5 ,1 ,8 ,19 ,32 ,36 ,69 ,70 ,75 ,56 ,77 ,39 ,28 ,5 O 
Cerrillos ,& 1 3 1 ,4 ,11 ,13 ,21 ,21 ,67 ,227 ,205 ,277 ,316 ,276 ,348 ,339 ,243 ,181 ,160 ,79 ,20 O 
Cerro Navia ,& O 2 10 ,16 ,15 ,14 ,37 ,50 ,108 ,269 ,572 ,695 ,733 ,759 ,766 ,646 ,549 ,320 ,258 ,155 ,24 O 
Colina ,& 1 3 7 ,28 ,15 ,26 ,17 ,24 ,36 ,134 ,371 ,539 ,610 ,613 ,604 ,419 ,340 ,248 ,177 ,133 ,23 O 
Conchali ,& 0 2 2 ,17 ,14 ,19 ,41 ,74 ,133 ,382 ,632 ,716 ,667 ,648 ,650 ,558 ,464 ,326 ,280 ,167 ,16 O 
Curacavi ,& 0 0 1 ,3 ,5 ,5 ,4 ,1 ,4 ,18 ,40 ,72 ,95 ,137 ,106 ,100 ,70 ,56 ,45 ,45 ,9 O 
EI Bosque ,& O O 1 ,14 ,23 ,34 ,53 ,46 ,89 ,223 ,405 ,552 ,549 ,744 ,854 ,718 ,568 ,480 ,373 ,216 ,39 O 
EI Monte ,& O O 1 ,1 ,1 ,7 ,4 ,3 ,7 ,16 ,41 ,74 ,142 ,100 ,128 ,128 ,151 ,102 ,103 ,60 ,10 O 
Estacion Central ,& O 2 3 ,11 ,28 ,34 ,41 ,82 ,169 ,378 ,571 ,673 ,679 ,742 ,698 ,567 ,442 ,316 ,220 ,190 ,30 O 
Huechuraba ,& 1 0 5 ,21 ,10 ,19 ,21 ,33 ,57 ,204 ,374 ,501 ,452 ,423 ,392 ,288 ,307 ,176 ,144 ,88 ,11 O 
Independencia ,& 0 O 4 ,16 ,10 ,26 ,50 ,146 ,308 ,573 ,787 ,776 ,769 ,732 ,570 ,446 ,332 ,213 ,195 ,140 ,30 O 
Isla de Maipo ,& 0 0 0 ,2 ,1 ,7 ,2 ,0 ,4 ,13 ,25 ,37 ,70 ,89 ,102 ,81 ,77 ,79 ,68 ,83 ,2 O 
La Cisterna ,& O 0 3 ,10 ,13 ,18 ,18 ,28 ,64 ,120 ,242 ,328 ,306 ,425 ,412 ,313 ,283 ,184 ,116 ,99 ,9 O 
La Florida ,& 1 2 12 ,31 ,58 ,64 ,80 ,106 ,208 ,595 ,1036 ,1549 ,1723 ,1631 ,1680 ,1185 ,1078 ,826 ,528 ,379 ,63 O 
La Granja ,& O O 1 ,6 ,16 ,36 ,22 ,21 ,75 ,272 ,614 ,919 ,1025 ,805 ,814 ,642 ,517 ,351 ,350 ,166 ,18 O 
La Pintana ,& 1 1 3 ,10 ,21 ,35 ,51 ,94 ,156 ,341 ,738 ,900 ,1266 ,1369 ,1375 ,950 ,703 ,513 ,337 ,212 ,56 0 
La Reina ,& 0 0 12 ,17 ,12 ,18 ,8 ,13 ,41 ,75 ,125 ,221 ,307 ,255 ,241 ,224 ,183 ,127 ,115 ,72 ,14 O 
Lampa ,& 0 O O ,9 ,13 ,15 ,14 ,18 ,53 ,139 ,295 ,348 ,399 ,381 ,437 ,370 ,253 ,189 ,161 ,141 ,12 O 
Las Condes ,& 1 18 60 ,128 ,69 ,42 ,37 ,34 ,75 ,245 ,503 ,697 ,750 ,684 ,575 ,495 ,370 ,283 ,213 ,128 ,26 O 
Lo Barnechea ,& 0 2 14 ,55 ,30 ,23 ,37 ,40 ,65 ,151 ,269 ,400 ,415 ,363 ,407 ,308 ,132 ,101 ,79 ,42 ,11 0 
Lo Espejo ,& 1 O 1 ,5 ,9 ,25 ,30 ,21 ,75 ,167 ,344 ,434 ,379 ,522 ,559 ,401 ,360 ,266 ,178 ,130 ,27 O 
Lo Prado ,& 0 0 3 ,6 ,21 ,16 ,24 ,31 ,105 ,196 ,353 ,498 ,508 ,616 ,532 ,492 ,403 ,252 ,206 ,202 ,30 O 
Macul ,& 0 1 3 ,17 ,23 ,20 ,14 ,23 ,78 ,190 ,441 ,534 ,637 ,554 ,629 ,461 ,379 ,258 ,181 ,136 ,20 0 
Maipu ,& 0 1 13 ,52 ,73 ,83 ,96 ,116 ,157 ,430 ,907 ,1361 ,1581 ,1693 ,1855 ,1649 ,1277 ,980 ,700 ,476 ,61 O 
Maria Pinto ,& 0 O O ,0 ,O ,O ,1 ,O ,2 ,2 ,18 ,25 ,38 ,37 ,41 ,26 ,29 ,46 ,29 ,19 ,5 O 
Melipilla ,& 0 1 1 ,6 ,5 ,5 ,8 ,24 ,37 ,85 ,106 ,212 ,353 ,479 ,472 ,413 ,450 ,346 ,297 ,201 ,23 O 
