QuintadeTilcoco,&0OO1,OO0OOOO,1,1,4,2,10,16,20,15,12,16,12,15,2,O
Rancagua ,& O O O 9 ,4 7 3 9 13 27 89 ,177 ,226 ,283 ,428 ,657 ,1100 ,931 ,696 ,494 ,282 ,163 ,194 ,140 ,O 
Rengo ,& O O O 1 ,3 O 0 4 5 3 8 ,19 ,29 ,27 ,48 ,71 ,123 ,141 ,135 ,186 ,119 ,79 ,66 ,36 ,O 
Requinoa ,& O O O 2 ,O O O O 2 1 4 ,5 ,13 ,21 ,16 ,41 ,78 ,60 ,54 ,45 ,24 ,21 ,27 ,8 ,O 
San Fernando ,& 0 O O 2 ,1 1 0 2 O 2 8 ,9 ,23 ,16 ,22 ,28 ,55 ,60 ,51 ,61 ,57 ,55 ,62 ,40 ,O 
San Vicente ,O O O O ,3 1 O O 3 3 16 ,27 ,17 ,14 ,24 ,37 ,58 ,52 ,51 ,55 ,56 ,47 ,66 ,53 ,O 
Santa Cruz ,& O O O O ,1 O O 1 1 O 5 ,4 ,10 ,7 ,18 ,21 ,16 ,20 ,22 ,24 ,13 ,21 ,45 ,20 ,O 
Desconocido ,& O O O O ,0 0 2 O O O 1 ,2 ,12 ,O ,8 ,4 ,11 ,12 ,4 ,19 ,3 ,6 ,2 ,1 ,O 
Total ,1 0 1 23 ,18 11 13 21 48 68 226 ,400 ,505 ,559 ,844 ,1296 ,2093 ,1964 ,1554 ,1317 ,932 ,683 ,791 ,484 ,0 
