Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto del Carmen ,5729 ,16 ,279.3 ,0 ,0.0 ,5 ,87.3 ,5 ,87.3 
Caldera ,& 19426 ,165 ,849.4 ,1 ,5.1 ,62 ,319.2 ,62 ,319.2 
Chanaral ,13164 ,76 ,577.3 ,O ,0.0 ,19 ,144.3 ,19 ,144.3 
Copiapo ,& 171766 ,3127 ,1820.5 ,19 ,11.1 ,788 ,458.8 ,787 ,458.2 
Diego de Almagro ,& 14358 ,68 ,473.6 ,2 ,13.9 ,12 ,83.6 ,12 ,83.6 
Freirina ,7681 ,83 ,1080.6 ,O ,0.0 ,27 ,351.5 ,27 ,351.5 
Huasco ,11264 ,41 ,364.0 ,0 ,0.0 ,2 ,17.8 ,2 ,17.8 
Tierra Amarilla ,& 14312 ,261 ,1823.6 ,0 ,0.0 ,59 ,412.2 ,59 ,412.2 
Vallenar ,57009 ,543 ,952.5 ,0 ,0.0 ,44 ,77.2 ,44 ,77.2 
Desconocido ,& - ,19 ,- ,0 ,- ,1 ,- ,1 ,- 
Total ,314709 ,4399 ,1397.8 ,22 ,7.0 ,1019 ,323.8 ,1018 ,323.5 
