Regionderesidencia,Semana18al24deJulio,Semana25al31deJulio
Arica y Parinacota ,16.2 ,21.8 
Tarapaca ,20.6 ,55.3 
Antofagasta ,33.3 ,51.6 
Atacama ,51.9 ,53.5 
Coquimbo ,27.1 ,48.2 
Valparaiso ,17.5 ,29.8 
Metropolitana ,40.1 ,53.6 
O'Higgins ,35.2 ,56.5 
Maule ,34.0 ,44.5 
Nuble ,40.2 ,50.2 
Biobio ,20.8 ,28.7 
Araucania ,35.7 ,53.5 
Los Rios ,14.0 ,22.1 
Los Lagos ,15.8 ,34.7 
Aysen ,17.7 ,15.0 
Magallanes ,43.7 ,47.3 
