Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Bulnes ,417 ,74 ,980 ,100 
Chillan ,277 ,71 ,983 ,931 
Chillan Viejo ,496 ,36 ,970 ,100 
Cobquecura ,807 ,246 ,947 ,929 
Coelemu ,783 ,18 ,100 ,100 
Coihueco ,550 ,28 ,987 ,100 
EI Carmen ,713 ,- ,992 ,- 
Ninhue ,45 ,45 ,100 ,100 
Niquen ,444 ,242 ,980 ,100 
Pemuco ,269 ,- ,963 ,- 
Pinto ,660 ,21 ,100 ,100 
Portezuelo ,71 ,71 ,933 ,100 
Quillon ,324 ,10 ,990 ,100 
Quirihue ,680 ,71 ,960 ,100 
Ranquil ,250 ,42 ,100 ,100 
San Carlos ,360 ,21 ,964 ,100 
San Fabian ,780 ,- ,100 ,- 
San Ignacio ,397 ,14 ,971 ,100 
San Nicolas ,00 ,129 ,939 ,100 
Treguaco ,500 ,42 ,100 ,100 
Yungay ,284 ,55 ,973 ,100 
Total ,436 ,56 ,980 ,967 
