Negrete,10429,110,1054.8,1,9.6,5,47.9,5,47.9,0OOO,020,O0O712,10912,21,15173,2
Penco& ,49865 ,326 ,653.8 ,1 ,2.0 ,67 ,134.4 ,67 ,134.4 ,0 0 0 1 ,4 3 3 ,8 0 3 2 2 ,10 14 43 ,73 ,52 57 42 ,9 
Quilaco ,4179 ,12 ,287.2 ,0 ,0.0 ,2 ,47.9 ,2 ,47.9 ,0 0 O 0 ,0 O 0 ,O O O 0 O ,0 2 3 ,1 ,1 4 0 ,1 
Quilleco ,10032 ,33 ,328.9 ,1 ,10.0 ,20 ,199.4 ,20 ,199.4 ,O 0 O O ,0 O 0 ,0 0 O 0 0 ,1 2 2 ,2 ,1 8 12 ,5 
San Pedro de la Paz& ,145906 ,699 ,479.1 ,11 ,7.5 ,123 ,84.3 ,122 ,83.6 ,0 0 6 35 ,17 23 8 ,11 4 3 14 14 ,38 64 67 ,97 ,115 77 90 ,16 
San Rosendo ,3611 ,29 ,803.1 ,1 ,27.7 ,10 ,276.9 ,10 ,276.9 ,0 0 0 0 ,0 0 0 ,O 0 0 1 1 ,0 2 2 ,0 ,8 8 7 ,0 
Santa Barbara8 ,14592 ,105 ,719.6 ,0 ,0.0 ,19 ,130.2 ,19 ,130.2 ,0 0 0 0 ,2 1 0 ,O O O 4 9 ,7 19 7 ,8 ,23 9 12 ,4 
Santa Juana ,14779 ,71 ,480.4 ,4 ,27.1 ,6 ,40.6 ,6 ,40.6 ,0 O 0 0 ,0 1 0 ,0 1 O 0 O ,0 3 17 ,22 ,15 7 2 ,3 
Talcahuano& ,158345 ,847 ,534.9 ,3 ,1.9 ,175 ,110.5 ,175 ,110.5 ,0 O 1 16 ,16 20 14 ,14 21 17 18 18 ,42 69 54 ,110 ,150 125 101 ,41 
Tirua ,11019 ,30 ,272.3 ,0 ,0.0 ,1 ,9.1 ,1 ,9.1 ,0 0 0 1 ,2 1 0 ,O 0 0 0 0 ,0 1 4 ,5 ,9 7 0 ,0 
Tome8 ,58729 ,331 ,563.6 ,1 ,1.7 ,25 ,42.6 ,25 ,42.6 ,0 0 0 9 ,13 13 7 ,9 1 4 16 6 ,8 15 53 ,63 ,65 32 12 ,5 
Tucapel8 ,15205 ,134 ,881.3 ,1 ,6.6 ,24 ,157.8 ,23 ,151.3 ,0 O 0 0 ,0 1 0 ,0 0 O 1 4 ,6 11 21 ,13 ,28 34 13 ,2 
Yumbel& ,22132 ,170 ,768.1 ,1 ,4.5 ,58 ,262.1 ,58 ,262.1 ,0 0 0 0 ,5 0 1 ,1 1 3 4 3 ,5 12 3 ,20 ,38 19 42 ,13 
Desconocido& ,- ,145 ,- ,0 ,- ,31 ,- ,31 ,- ,0 0 0 1 ,0 0 0 ,0 0 0 2 4 ,6 7 10 ,12 ,35 44 11 ,13 
Total ,1663696 ,9120 ,548.2 ,80 ,4.8 ,1658 ,99.7 ,1656 ,99.5 ,1 3 29 140 ,163 155 101 ,100 68 88 214 259 ,513 756 833 ,1259 ,1686 1443 1020 ,289 
