Maipu,&,578605,15531,2684.2,287,49.6,286,49.4
Maria Pinto ,& ,14926 ,413 ,2767.0 ,14 ,93.8 ,14 ,93.8 
Melipilla ,& ,141612 ,4108 ,2900.9 ,71 ,50.1 ,71 ,50.1 
Nunoa ,& ,250192 ,5794 ,2315.8 ,110 ,44.0 ,109 ,43.6 
Padre Hurtado ,& ,74188 ,2269 ,3058.4 ,29 ,39.1 ,29 ,39.1 
Paine ,& ,82766 ,2108 ,2546.9 ,95 ,114.8 ,95 ,114.8 
Pedro Aguirre Cerda ,& ,107803 ,4545 ,4216.0 ,72 ,66.8 ,70 ,64.9 
Penaflor ,& ,101058 ,3113 ,3080.4 ,89 ,88.1 ,87 ,86.1 
Penalolen ,& ,266798 ,12236 ,4586.2 ,173 ,64.8 ,173 ,64.8 
Pirque ,,30433 ,1159 ,3808.4 ,13 ,42.7 ,13 ,42.7 
Providencia ,& ,157749 ,3398 ,2154.1 ,49 ,31.1 ,49 ,31.1 
Pudahuel ,& ,253139 ,10437 ,4123.0 ,211 ,83.4 ,210 ,83.0 
Puente Alto ,& ,645909 ,24655 ,3817.1 ,551 ,85.3 ,551 ,85.3 
Quilicura ,& ,254694 ,9582 ,3762.2 ,175 ,68.7 ,174 ,68.3 
Quinta Normal ,& ,136368 ,6428 ,4713.7 ,127 ,93.1 ,127 ,93.1 
Recoleta ,& ,190075 ,8856 ,4659.2 ,142 ,74.7 ,141 ,74.2 
Renca ,& ,160847 ,9289 ,5775.1 ,185 ,115.0 ,185 ,115.0 
San Bernardo ,& ,334836 ,11763 ,3513.1 ,191 ,57.0 ,190 ,56.7 
San Joaquin ,& ,103485 ,5270 ,5092.5 ,99 ,95.7 ,99 ,95.7 
San Jose de Maipo ,,18644 ,698 ,3743.8 ,7 ,37.5 ,7 ,37.5 
San Miguel ,& ,133059 ,5530 ,4156.1 ,85 ,63.9 ,84 ,63.1 
San Pedro ,,11953 ,252 ,2108.3 ,2 ,16.7 ,2 ,16.7 
San Ramon ,& ,86510 ,4659 ,5385.5 ,49 ,56.6 ,49 ,56.6 
Santiago ,& ,503147 ,15516 ,3083.8 ,253 ,50.3 ,252 ,50.1 
Talagante ,,81838 ,1827 ,2232.5 ,27 ,33.0 ,27 ,33.0 
Tiltil ,& ,21477 ,614 ,2858.9 ,7 ,32.6 ,7 ,32.6 
Vitacura ,& ,96774 ,1630 ,1684.3 ,23 ,23.8 ,23 ,23.8 
Desconocido ,& ,- ,15101 ,- ,164 ,- ,164 ,- 
Total ,,8125072 ,306670 ,3774.4 ,5645 ,69.5 ,5625 ,69.2 
