Talagante,81838,33,40.3,7,8.6,7,8.6,O0,0,4,7,7,4,9,2,0
Tiltil ,21477 ,5 ,23.3 ,1 ,4.7 ,1 ,4.7 ,O 0 ,0 ,2 ,1 ,1 ,0 ,1 ,0 ,0 
Vitacura ,96774 ,138 ,142.6 ,11 ,11.4 ,11 ,11.4 ,0 7 ,30 ,45 ,27 ,13 ,5 ,5 ,6 ,O 
Total ,8125072 ,7821 ,96.3 ,2738 ,33.7 ,2727 ,33.6 ,6 43 ,318 ,929 ,985 ,1164 ,1436 ,1774 ,1166 ,0 
