ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,6943 ,2754.0 ,592 ,234.8 
Region de Tarapaca ,382773 ,11180 ,2920.8 ,630 ,164.6 
Region de Antofagasta ,691854 ,18801 ,2717.5 ,858 ,124.0 
Region de Atacama ,314709 ,5577 ,1772.1 ,609 ,193.5 
Region de Coquimbo ,836096 ,10996 ,1315.2 ,1300 ,155.5 
Region de Valparaiso ,1960170 ,30800 ,1571.3 ,2021 ,103.1 
Region Metropolitana de Santiago ,8125072 ,302265 ,3720.2 ,5517 ,67.9 
Region del Libertador General Bernardo OHiggins ,991063 ,16006 ,1615.0 ,1147 ,115.7 
Region del Maule ,1131939 ,12301 ,1086.7 ,837 ,73.9 
Region de Nuble ,511551 ,5716 ,1117.4 ,695 ,135.9 
Region del Biobio ,1663696 ,18735 ,1126.1 ,2739 ,164.6 
Region de la Araucania ,1014343 ,5042 ,497.1 ,289 ,28.5 
Region de Los Rios ,405835 ,1142 ,281.4 ,74 ,18.2 
Region de Los Lagos ,891440 ,6651 ,746.1 ,712 ,79.9 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,114 ,106.2 ,15 ,14.0 
Region de Magallanes y la Antartica Chilena ,178362 ,3270 ,1833.4 ,869 ,487.2 
Desconocido ,- ,55 ,- ,1 ,- 
Total pais ,19458310 ,455594 ,2341.4 ,18905 ,97.2 
