Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,15174 ,129 ,850.1 ,14 ,92.3 ,14 ,92.3 
Cabildo ,20663 ,372 ,1800.3 ,24 ,116.1 ,24 ,116.1 
Calera ,& 53591 ,1137 ,2121.6 ,88 ,164.2 ,87 ,162.3 
Calle Larga ,16482 ,298 ,1808.0 ,5 ,30.3 ,5 ,30.3 
Cartagena ,& 25357 ,227 ,895.2 ,17 ,67.0 ,17 ,67.0 
Casablanca ,& 29170 ,428 ,1467.3 ,21 ,72.0 ,21 ,72.0 
Catemu ,15213 ,222 ,1459.3 ,33 ,216.9 ,33 ,216.9 
Con Con ,& 45889 ,616 ,1342.4 ,33 ,71.9 ,33 ,71.9 
EI Quisco ,& 17742 ,213 ,1200.5 ,13 ,73.3 ,13 ,73.3 
EI Tabo ,14338 ,260 ,1813.4 ,5 ,34.9 ,5 ,34.9 
Hijuelas ,& 19099 ,290 ,1518.4 ,16 ,83.8 ,16 ,83.8 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& 25321 ,297 ,1172.9 ,21 ,82.9 ,21 ,82.9 
La Ligua ,37739 ,673 ,1783.3 ,87 ,230.5 ,87 ,230.5 
Limache ,& 49931 ,1044 ,2090.9 ,74 ,148.2 ,74 ,148.2 
Llaillay ,26533 ,426 ,1605.5 ,32 ,120.6 ,32 ,120.6 
Los Andes ,68093 ,1102 ,1618.4 ,26 ,38.2 ,26 ,38.2 
Nogales ,23490 ,359 ,1528.3 ,67 ,285.2 ,67 ,285.2 
Olmue ,& 19266 ,278 ,1443.0 ,39 ,202.4 ,38 ,197.2 
Panquehue ,7633 ,119 ,1559.0 ,3 ,39.3 ,3 ,39.3 
