Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Algarrobo ,15174 ,118 ,777.6 ,3 ,19.8 ,3 ,19.8 
Cabildo ,& 20663 ,365 ,1766.4 ,25 ,121.0 ,25 ,121.0 
Calera ,53591 ,1073 ,2002.2 ,92 ,171.7 ,91 ,169.8 
Calle Larga ,16482 ,294 ,1783.8 ,24 ,145.6 ,24 ,145.6 
Cartagena ,& 25357 ,216 ,851.8 ,10 ,39.4 ,10 ,39.4 
Casablanca ,& 29170 ,421 ,1443.3 ,41 ,140.6 ,41 ,140.6 
Catemu ,& 15213 ,204 ,1341.0 ,26 ,170.9 ,26 ,170.9 
Con Con ,& 45889 ,592 ,1290.1 ,32 ,69.7 ,32 ,69.7 
EI Quisco ,& 17742 ,216 ,1217.5 ,25 ,140.9 ,25 ,140.9 
EI Tabo ,14338 ,258 ,1799.4 ,4 ,27.9 ,4 ,27.9 
Hijuelas ,19099 ,283 ,1481.8 ,20 ,104.7 ,20 ,104.7 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
La Cruz ,& 25321 ,284 ,1121.6 ,23 ,90.8 ,23 ,90.8 
La Ligua ,& 37739 ,638 ,1690.6 ,89 ,235.8 ,89 ,235.8 
Limache ,& 49931 ,1011 ,2024.8 ,74 ,148.2 ,74 ,148.2 
Llaillay ,& 26533 ,404 ,1522.6 ,14 ,52.8 ,14 ,52.8 
Los Andes ,& 68093 ,1089 ,1599.3 ,20 ,29.4 ,20 ,29.4 
Nogales ,23490 ,321 ,1366.5 ,49 ,208.6 ,49 ,208.6 
Olmue ,& 19266 ,264 ,1370.3 ,43 ,223.2 ,42 ,218.0 
Panquehue ,7633 ,118 ,1545.9 ,4 ,52.4 ,4 ,52.4 
