Comuna,Busquedasactivas(%),CoberturadeTesteo(%),Oportunidadnotificacion(%)
Alhue ,863 ,662 ,875 
Buin ,519 ,948 ,864 
Calera de Tango ,752 ,986 ,835 
Cerrillos ,551 ,881 ,891 
Cerro Navia ,648 ,883 ,819 
Colina ,381 ,921 ,865 
Conchali ,319 ,936 ,870 
Curacavi ,771 ,993 ,953 
El Bosque ,452 ,952 ,885 
El Monte ,701 ,924 ,927 
Estacion Central ,694 ,758 ,891 
Huechuraba ,468 ,954 ,762 
Independencia ,701 ,914 ,890 
Isla de Maipo ,882 ,950 ,888 
La Cisterna ,696 ,962 ,894 
La Florida ,555 ,910 ,859 
La Granja ,665 ,979 ,871 
La Pintana ,780 ,959 ,885 
La Reina ,490 ,910 ,862 
Lampa ,488 ,925 ,882 
Las Condes ,345 ,909 ,814 
Lo Barnechea ,634 ,966 ,744 
Lo Espejo ,697 ,976 ,938 
Lo Prado ,729 ,959 ,943 
Macul ,715 ,962 ,573 
Maipu ,485 ,869 ,837 
Maria Pinto ,545 ,990 ,899 
Melipilla ,585 ,903 ,910 
Nunoa ,585 ,942 ,924 
Padre Hurtado ,624 ,970 ,958 
Paine ,675 ,956 ,797 
Pedro Aguirre Cerda ,704 ,960 ,895 
Penaflor ,457 ,966 ,855 
Penalolen ,649 ,970 ,901 
Pirque ,461 ,929 ,798 
Providencia ,435 ,919 ,839 
Pudahuel ,634 ,864 ,807 
Puente Alto ,283 ,939 ,864 
Quilicura ,793 ,918 ,866 
Quinta Normal ,544 ,944 ,882 
Recoleta ,573 ,798 ,886 
Renca ,511 ,961 ,873 
San Bernardo ,678 ,874 ,922 
San Joaquin ,273 ,973 ,714 
San Jose de Maipo ,681 ,952 ,888 
San Miguel ,840 ,651 ,986 
San Pedro ,467 ,962 ,896 
