Purranque,21080,17,80.6,1,4.7,1,4.7,OOOO,3,10,31O0
Puyehue ,11787 ,2 ,17.0 ,1 ,8.5 ,1 ,8.5 ,O O 0 1 ,O ,O ,O O 1 O 
Queilen ,5543 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 ,0 ,O ,O O 0 0 
Quellon ,29309 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O ,O O O O 
Quemchi ,8783 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O ,O O O O 
Quinchao ,8298 ,1 ,12.1 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,O ,O O O O 
Rio Negro ,14275 ,5 ,35.0 ,1 ,7.0 ,1 ,7.0 ,O O O O ,1 ,3 ,O O 1 O 
San Juan de la Costa ,7639 ,24 ,314.2 ,9 ,117.8 ,9 ,117.8 ,O O O O ,2 ,10 ,2 6 4 0 
San Pablo ,10553 ,8 ,75.8 ,2 ,19.0 ,2 ,19.0 ,0 0 O 0 ,2 ,4 ,O 2 0 O 
Total ,891440 ,462 ,51.8 ,50 ,5.6 ,50 ,5.6 ,0 1 14 88 ,139 ,110 ,54 39 17 0 
