Pucon,29782,100,335.8,2,6.7,2,6.7
Puren ,12188 ,50 ,410.2 ,2 ,16.4 ,2 ,16.4 
Renaico ,10833 ,96 ,886.2 ,10 ,92.3 ,10 ,92.3 
Saavedra ,12793 ,121 ,945.8 ,11 ,86.0 ,11 ,86.0 
Temuco ,& 302931 ,1890 ,623.9 ,193 ,63.7 ,193 ,63.7 
Teodoro Schmidt ,& 15786 ,130 ,823.5 ,31 ,196.4 ,31 ,196.4 
Tolten ,10055 ,32 ,318.2 ,6 ,59.7 ,6 ,59.7 
Traiguen ,19314 ,68 ,352.1 ,2 ,10.4 ,2 ,10.4 
Victoria ,35467 ,293 ,826.1 ,14 ,39.5 ,14 ,39.5 
Vilcun ,30766 ,225 ,731.3 ,6 ,19.5 ,5 ,16.3 
Villarrica ,& 59103 ,218 ,368.8 ,29 ,49.1 ,29 ,49.1 
Desconocido ,& - ,4 ,- ,2 ,- ,2 ,- 
Total ,1014343 ,7002 ,690.3 ,649 ,64.0 ,648 ,63.9 
