SanPedro,11953,0,0.0,0,0.0,0,0.0,0,O,0,0,O,O,0,O
San Ramon ,86510 ,32 ,37.0 ,15 ,17.3 ,15 ,17.3 ,0 ,O ,O ,1 ,11 ,8 ,7 ,5 
Santiago ,503147 ,463 ,92.0 ,166 ,33.0 ,162 ,32.2 ,2 ,O ,27 ,91 ,88 ,122 ,108 ,25 
Talagante ,81838 ,26 ,31.8 ,8 ,9.8 ,8 ,9.8 ,0 ,O ,O ,4 ,8 ,7 ,6 ,1 
Tiltil ,21477 ,4 ,18.6 ,1 ,4.7 ,1 ,4.7 ,O ,O ,O ,2 ,1 ,1 ,O ,O 
Vitacura ,96774 ,130 ,134.3 ,8 ,8.3 ,8 ,8.3 ,0 ,7 ,29 ,46 ,27 ,15 ,5 ,1 
Total ,8125072 ,4915 ,60.5 ,1892 ,23.3 ,1839 ,22.6 ,6 ,40 ,314 ,906 ,980 ,1122 ,1160 ,387 
