Comuna,Busquedasactivas(%),Positividad(%),CoberturaTesteo(%),Oportunidadnotificacion(%)
Ancud ,632 ,03 ,913 ,100 
Calbuco ,450 ,73 ,853 ,100 
Castro ,727 ,05 ,866 ,100 
Chaiten ,893 ,36 ,866 ,100 
Chonchi ,368 ,- ,864 ,- 
Cochamo ,83 ,- ,846 ,- 
Curaco de Velez ,200 ,- ,100 ,- 
Dalcahue ,455 ,- ,767 ,- 
Fresia ,598 ,30 ,748 ,100 
Frutillar ,468 ,113 ,895 ,886 
Futaleufu ,921 ,- ,829 ,- 
Hualaihue ,500 ,17 ,968 ,100 
Llanquihue ,451 ,62 ,965 ,929 
LOs Muermos ,481 ,77 ,939 ,100 
Maullin ,739 ,78 ,908 ,100 
Osorno ,547 ,69 ,986 ,606 
Palena ,909 ,45 ,815 ,- 
Puerto Montt ,516 ,95 ,814 ,939 
Puerto Octay ,669 ,33 ,968 ,800 
Puerto Varas ,674 ,29 ,946 ,917 
Puqueldon ,667 ,- ,600 ,- 
Purranque ,578 ,85 ,981 ,889 
Puyehue ,196 ,239 ,100 ,636 
Queilen ,667 ,- ,100 ,- 
Quellon ,711 ,- ,726 ,- 
Quemchi ,211 ,- ,905 ,- 
Quinchao ,500 ,- ,923 ,- 
Rio Negro ,460 ,40 ,768 ,500 
San Juan de la Costa ,697 ,45 ,957 ,100 
San Pablo ,473 ,109 ,965 ,100 
Total ,554 ,68 ,876 ,875 
