,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas.NotificacionO,Tomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE SE 25 26 ,SE SE 27 28 
Andacollo ,11791 ,41 ,347.7 ,1 ,8.5 ,3 ,25.4 ,3 ,25.4 ,0 0 0 0 0 0 0 0 0 2 7 ,3 3 ,7 ,5 O ,5 7 ,2 0 
Canela ,9546 ,19 ,199.0 ,1 ,10.5 ,6 ,62.9 ,6 ,62.9 ,0 0 0 0 0 0 0 0 0 1 0 ,2 0 ,2 ,2 0 ,1 6 ,5 0 
Combarbala ,13884 ,30 ,216.1 ,0 ,0.0 ,1 ,7.2 ,1 ,7.2 ,0 0 0 0 O 0 0 0 0 2 3 ,4 3 ,5 ,3 2 ,7 0 ,1 O 
Coquimbo& ,256735 ,1358 ,529.0 ,6 ,2.3 ,278 ,108.3 ,278 ,108.3 ,0 0 4 13 3 1 1 6 7 23 85 ,85 70 ,150 ,142 149 ,176 226 ,179 38 
Illapel ,32801 ,204 ,621.9 ,0 ,0.0 ,85 ,259.1 ,85 ,259.1 ,0 0 0 0 4 7 7 0 0 1 0 ,1 6 ,21 ,14 18 ,20 39 ,40 26 
La Higuera ,4450 ,10 ,224.7 ,O ,0.0 ,7 ,157.3 ,7 ,157.3 ,0 0 O 0 0 0 0 0 0 0 O ,O 0 ,1 ,2 O ,O 0 ,5 2 
La Serena& ,249656 ,1176 ,471.0 ,10 ,4.0 ,281 ,112.6 ,281 ,112.6 ,0 1 O 3 6 4 3 3 5 17 51 ,50 76 ,114 ,113 132 ,195 181 ,185 37 
Los Vilos ,23374 ,67 ,286.6 ,1 ,4.3 ,18 ,77.0 ,18 ,77.0 ,0 0 O 1 O 0 0 O 0 0 1 ,O 3 ,5 ,6 7 ,12 25 ,7 O 
Monte Patria ,32527 ,219 ,673.3 ,2 ,6.1 ,32 ,98.4 ,32 ,98.4 ,0 0 O 0 0 0 0 0 0 1 6 ,19 25 ,27 ,24 45 ,22 29 ,20 1 
Ovalle& ,121269 ,982 ,809.8 ,14 ,11.5 ,110 ,90.7 ,108 ,89.1 ,O 0 3 2 4 2 O 5 1 15 32 ,47 58 ,114 ,170 177 ,146 130 ,65 11 
Paiguano ,4675 ,7 ,149.7 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 O O 0 O O 0 O ,O 2 ,2 ,1 2 ,O 0 ,0 O 
Punitaqui ,12165 ,63 ,517.9 ,3 ,24.7 ,11 ,90.4 ,11 ,90.4 ,0 0 O O O 0 0 1 1 3 6 ,O 4 ,16 ,2 7 ,5 7 ,6 5 
Rio Hurtado ,4372 ,22 ,503.2 ,O ,0.0 ,5 ,114.4 ,5 ,114.4 ,O O O 1 O O O O O 1 O ,1 2 ,5 ,6 1 ,O O ,5 O 
Salamanca& ,29110 ,64 ,219.9 ,O ,0.0 ,7 ,24.0 ,7 ,24.0 ,O 1 O 1 2 1 2 1 O 3 2 ,2 5 ,15 ,14 3 ,4 2 ,5 1 
Vicuna ,29741 ,48 ,161.4 ,0 ,0.0 ,14 ,47.1 ,14 ,47.1 ,O O 0 0 O O 1 O 1 3 5 ,3 5 ,4 ,7 2 ,1 6 ,8 2 
Desconocido& ,- ,159 ,- ,O ,- ,59 ,- ,59 ,,0 0 0 1 0 3 1 1 1 2 1 ,3 10 ,8 ,9 29 ,14 24 ,20 32 
Total ,836096 ,4469 ,534.5 ,38 ,4.5 ,917 ,109.7 ,915 ,109.4 ,0 2 7 22 19 18 15 17 16 74 199 ,220 272 ,496 ,520 574 ,608 682 ,553 155 
