Pelluhue,0OO1,O0,1,OOO1,7,19,12,15,9,O,3,1OO
Pencahue ,O O O O ,O O ,O ,3 O O O ,O ,8 4 ,2 ,7 ,3 ,5 ,11 ,8 1 O 
Rauco ,& 0 O O O ,1 1 ,O ,1 O O 1 ,1 ,7 7 ,7 ,15 ,3 ,9 ,8 ,17 8 O 
Retiro ,O O O O ,O 0 ,1 ,O O 1 O ,1 ,17 42 ,14 ,18 ,12 ,12 ,12 ,2 1 O 
Rio Claro ,0 O O 2 ,O 1 ,1 ,3 2 O 2 ,2 ,1 8 ,3 ,4 ,14 ,12 ,18 ,2 O 0 
Romeral ,& 0 O O 1 ,2 O ,O ,10 O O O ,8 ,13 20 ,23 ,35 ,58 ,34 ,14 ,7 9 O 
Sagrada Familia ,O O O O ,O 1 ,O ,1 O 1 1 ,O ,3 7 ,17 ,8 ,10 ,9 ,12 ,10 2 O 
San Clemente ,O 1 O O ,O 1 ,2 ,7 1 7 7 ,14 ,18 20 ,39 ,44 ,59 ,85 ,77 ,55 31 O 
San Javier ,& O O O 1 ,2 7 ,4 ,7 4 3 7 ,8 ,9 22 ,53 ,41 ,43 ,30 ,46 ,53 30 O 
San Rafae ,O O O O ,1 O ,1 ,1 O O 5 ,10 ,28 7 ,17 ,8 ,11 ,14 ,12 ,6 3 O 
Talca ,& 0 4 9 13 ,19 11 ,15 ,73 18 13 24 ,53 ,74 83 ,169 ,209 ,269 ,253 ,229 ,156 61 O 
Teno ,O O O 1 ,O O ,1 ,1 1 3 3 ,3 ,4 7 ,11 ,31 ,31 ,30 ,34 ,26 12 O 
Vichuquen ,O O O O ,O O ,O ,O O O O ,O ,O O ,O ,O ,O ,O ,1 ,2 2 O 
Villa Alegre ,& 0 O O O ,O O ,1 ,1 O O 1 ,2 ,O 9 ,17 ,9 ,11 ,15 ,22 ,14 7 O 
Yerbas Buenas ,O O O 0 ,O O ,1 ,O 2 O 5 ,9 ,12 23 ,13 ,16 ,9 ,7 ,2 ,8 7 O 
Desconocido ,& 0 O O 1 ,O O ,O ,O 1 O O ,1 ,O 3 ,6 ,7 ,10 ,5 ,O ,3 3 O 
,,,,,,,,,,,,
,,,,,,,,,,,,
