Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Andacollo ,& 11791 ,102 ,865.1 ,18 ,152.7 ,18 ,152.7 
Canela ,9546 ,78 ,817.1 ,13 ,136.2 ,13 ,136.2 
Combarbala ,& 13884 ,68 ,489.8 ,10 ,72.0 ,10 ,72.0 
Coquimbo ,& 256735 ,4106 ,1599.3 ,380 ,148.0 ,379 ,147.6 
Illape ,32801 ,411 ,1253.0 ,17 ,51.8 ,17 ,51.8 
La Higuera ,4450 ,99 ,2224.7 ,5 ,112.4 ,5 ,112.4 
La Serena ,& 249656 ,3288 ,1317.0 ,247 ,98.9 ,245 ,98.1 
LOs Vilos ,& 23374 ,239 ,1022.5 ,22 ,94.1 ,22 ,94.1 
Monte Patria ,& 32527 ,426 ,1309.7 ,41 ,126.0 ,41 ,126.0 
Ovalle ,& 121269 ,2178 ,1796.0 ,232 ,191.3 ,231 ,190.5 
Paiguano ,4675 ,20 ,427.8 ,3 ,64.2 ,3 ,64.2 
Punitaqui ,& 12165 ,151 ,1241.3 ,12 ,98.6 ,11 ,90.4 
Rio Hurtado ,& 4372 ,42 ,960.7 ,O ,0.0 ,O ,0.0 
Salamanca ,29110 ,198 ,680.2 ,11 ,37.8 ,11 ,37.8 
Vicuna ,& 29741 ,222 ,746.4 ,26 ,87.4 ,26 ,87.4 
Desconocido ,& - ,140 ,- ,2 ,- ,2 ,- 
Total ,836096 ,11768 ,1407.5 ,1039 ,124.3 ,1034 ,123.7 
