Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,,6775 ,168 ,2479.7 ,0 ,0.0 ,10 ,147.6 ,10 ,147.6 
Antuco ,& ,4306 ,54 ,1254.1 ,1 ,23.2 ,6 ,139.3 ,6 ,139.3 
Arauco ,& ,38679 ,296 ,765.3 ,1 ,2.6 ,16 ,41.4 ,16 ,41.4 
Cabrero ,,30725 ,135 ,439.4 ,1 ,3.3 ,14 ,45.6 ,13 ,42.3 
Canete ,,37003 ,47 ,127.0 ,0 ,0.0 ,12 ,32.4 ,12 ,32.4 
Chiguayante ,& ,91180 ,470 ,515.5 ,10 ,11.0 ,97 ,106.4 ,97 ,106.4 
Concepcion ,& ,238092 ,1498 ,629.2 ,26 ,10.9 ,198 ,83.2 ,198 ,83.2 
Contulmo ,,6330 ,43 ,679.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Coronel ,& ,125829 ,1158 ,920.3 ,4 ,3.2 ,145 ,115.2 ,145 ,115.2 
Curanilahue ,& ,33892 ,148 ,436.7 ,1 ,3.0 ,69 ,203.6 ,69 ,203.6 
Florida ,,11841 ,38 ,320.9 ,3 ,25.3 ,4 ,33.8 ,4 ,33.8 
Hualpen ,& ,97273 ,647 ,665.1 ,3 ,3.1 ,119 ,122.3 ,119 ,122.3 
Hualqui ,,26201 ,178 ,679.4 ,3 ,11.4 ,21 ,80.1 ,21 ,80.1 
Laja ,,23873 ,154 ,645.1 ,0 ,0.0 ,21 ,88.0 ,21 ,88.0 
Lebu ,,27100 ,32 ,118.1 ,0 ,0.0 ,2 ,7.4 ,2 ,7.4 
Los Alamos ,& ,22524 ,104 ,461.7 ,0 ,0.0 ,13 ,57.7 ,13 ,57.7 
Los Angeles ,& ,218515 ,1009 ,461.8 ,5 ,2.3 ,147 ,67.3 ,147 ,67.3 
Lota ,,45750 ,357 ,780.3 ,2 ,4.4 ,58 ,126.8 ,58 ,126.8 
Mulchen ,,31041 ,122 ,393.0 ,0 ,0.0 ,33 ,106.3 ,33 ,106.3 
Nacimiento ,,27944 ,156 ,558.3 ,3 ,10.7 ,19 ,68.0 ,19 ,68.0 
Negrete ,,10429 ,123 ,1179.4 ,2 ,19.2 ,12 ,115.1 ,12 ,115.1 
